,경제활동인구,화재발생건수,수소차대수,LPG차대수,전체차량수,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,혼잡시간강도,공시지가평균,공시지가중앙값,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,주유소,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,인구밀도
경제활동인구,1.0,0.8372858955555574,0.9744277883794312,0.983924664925999,0.9838890665452249,-0.14310277743343602,-0.21792071109811748,-0.25836303650633563,0.1536121680916838,-0.1478384217799032,-0.09096944267412213,-0.06993239160283996,-0.2452268529217274,-0.33875502290254716,-0.36346289347100114,0.3371669921307179,0.3301142893642963,0.3205322800661397,0.24136766728349193,0.3158089919995103,0.27723067227176856,-0.09096944267412213,-0.3168499580660842,0.041991181401330416,-0.1873008415119068,-0.2601419671806991,-0.3604424136351282,-0.2602742425256865,-0.44982325422840314,-0.34797225333258,-0.018192809239948635,-0.24868462002128203,-0.17956539999099008,-0.26556764256033194
화재발생건수,0.8372858955555574,1.0,0.8857477706061756,0.85726459777905,0.7800465034047132,-0.27209794075016963,-0.42367336800897143,-0.46518576001364803,0.3156208875813798,-0.4290993435781562,0.2158684561052791,0.3130227836601188,-0.4816003005295967,-0.5861386092235495,-0.5924980757032501,0.2856372002262491,0.4006579373902986,0.41389115872301085,0.20096356159633133,0.37531935454734416,0.4149875937570728,0.2158684561052791,-0.4998696138733181,-0.1943868196654159,-0.369258326061263,-0.33222274284947195,-0.4118229540584293,-0.3336236879765752,-0.3941391951828632,-0.42246938843153636,-0.06786085132166972,-0.28051462585526776,-0.21622797650110787,-0.5468255948779375
수소차대수,0.9744277883794312,0.8857477706061756,1.0,0.9704862327624693,0.9598156230365131,-0.24715602794522862,-0.32934906249285834,-0.3167596294461328,0.10818045527971103,-0.16063821229635936,-0.004079186783020444,0.034373921302761984,-0.2524529684735807,-0.36580333081956584,-0.3869466018868049,0.3136183971146649,0.3431715420861576,0.3416470128189784,0.23247344255662908,0.3277957742750592,0.30511569164914387,-0.004079186783020444,-0.33519231098746827,0.01811749428913202,-0.1905568301387538,-0.24636655964351406,-0.3482143418485601,-0.24889230673658636,-0.4184402259617243,-0.3369235510056541,0.013694089760749172,-0.22588121316403273,-0.15535680855689507,-0.31057561846285964
LPG차대수,0.983924664925999,0.85726459777905,0.9704862327624693,1.0,0.9560032276067286,-0.0815096580825882,-0.17663068312651134,-0.25323759081762603,0.257269763368898,-0.18105573845972,-0.14885500997536252,-0.09983414823719022,-0.276100320642367,-0.3994025982890251,-0.41463803388168724,0.4289796026124025,0.4076860670203122,0.3865975278622553,0.23388498495427798,0.351285859590065,0.3160996029562236,-0.14885500997536252,-0.34806617524372235,-0.052810903926755345,-0.2630052335332207,-0.30309889393360817,-0.3832501528908685,-0.2854676229727589,-0.43060429588411825,-0.3680843877702019,-0.0641361496910773,-0.2792257515454947,-0.22173686018419614,-0.22047353921674087
전체차량수,0.9838890665452249,0.7800465034047132,0.9598156230365131,0.9560032276067286,1.0,-0.17615569277512924,-0.23806220070431014,-0.20795602196614957,0.08427826027723688,-0.1304989286735329,-0.11958611634869422,-0.14088694523169926,-0.2137550260339151,-0.23920639781669978,-0.27615284391882633,0.37848699022470944,0.3620697818905627,0.3539219111020099,0.30810193995621293,0.3455943876895824,0.2951929224155358,-0.11958611634869422,-0.36406916917228427,0.03444824818806025,-0.21265555172240455,-0.31314240443313834,-0.4344270942845632,-0.3314442387087163,-0.5360170103643328,-0.4155464686080433,-0.08834703144214956,-0.32297813659794467,-0.24662063416738617,-0.17196743129363376
총교통량,-0.14310277743343602,-0.27209794075016963,-0.24715602794522862,-0.0815096580825882,-0.17615569277512924,1.0,0.9751393516558808,0.703076565542768,0.6970133404537229,0.41985178445892957,-0.5672641791782341,-0.4183726833207651,0.4273020342301369,0.11685877414732944,0.15261488736770285,-0.02440938148167413,-0.26184873041166323,-0.35735420889869624,-0.5859144818990802,-0.5159169335869394,-0.5435885389797969,-0.5672641791782341,-0.017057365145100402,-0.300421400300554,-0.14015021720128343,-0.1356398194954686,-0.021835971404023498,-0.008191239308854088,0.17202262550660533,-0.013628334460750747,-0.17522348456891998,-0.11101735067127858,-0.08165206023891071,0.6073756164334704
개인승용차교통량,-0.21792071109811748,-0.42367336800897143,-0.32934906249285834,-0.17663068312651134,-0.23806220070431014,0.9751393516558808,1.0,0.7779795086764149,0.5218955557696453,0.5735038354988756,-0.6124465371503781,-0.4864909146865381,0.575079470580158,0.2771639255048766,0.31179982648242466,-0.13575350545684375,-0.3960291001349364,-0.487998836233074,-0.6325763267100133,-0.615167142313168,-0.6593140671138847,-0.6124465371503781,0.12578498861365903,-0.17784536154908528,0.0009677608486477747,-0.03204816099253573,0.09218173413163594,0.09349424720254129,0.23275597545995966,0.10137708920797721,-0.09824697683017243,-0.01588177897087666,0.0028983583733675445,0.646720878401007
버스교통량,-0.25836303650633563,-0.46518576001364803,-0.3167596294461328,-0.25323759081762603,-0.20795602196614957,0.703076565542768,0.7779795086764149,1.0,0.1445557182933955,0.7640015751389582,-0.7509905733935732,-0.6634319054142469,0.8412280497280075,0.763536809967871,0.7849314980883412,-0.20971365933526298,-0.4934517126141612,-0.5639341586956234,-0.6467712979097221,-0.7109063638247147,-0.7605566217055643,-0.7509905733935732,-0.1529096462801774,-0.3994237025154927,-0.21479814076047313,-0.3502590243300929,-0.20767393065400108,-0.24825831579800206,-0.15812818337713241,-0.21001005681854706,-0.41034895095871154,-0.3400914198737293,-0.3281190098059287,0.5717689876027168
화물차교통량,0.1536121680916838,0.3156208875813798,0.10818045527971103,0.257269763368898,0.08427826027723688,0.6970133404537229,0.5218955557696453,0.1445557182933955,1.0,-0.25813029348529665,-0.16956933298963234,-0.006799062246023968,-0.2467691623954011,-0.4978632176272822,-0.47172147783161084,0.3400679994029073,0.27612606154327857,0.2066381126057655,-0.194079422706351,0.020676646934630918,0.05623491078379382,-0.16956933298963234,-0.4096382863172266,-0.5199388991285143,-0.48496133430905,-0.3515998337354523,-0.3204108527662003,-0.2683061613267043,-0.030197455138944437,-0.31700133384153295,-0.29338853340651583,-0.31036214184247585,-0.2596559247477738,0.24222566648230004
혼잡빈도강도,-0.1478384217799032,-0.4290993435781562,-0.16063821229635936,-0.18105573845972,-0.1304989286735329,0.41985178445892957,0.5735038354988756,0.7640015751389582,-0.25813029348529665,1.0,-0.5057717741602766,-0.39897280771452304,0.9815424590658983,0.7126917580606588,0.7427143391463382,-0.5819701647403979,-0.7960197714310351,-0.8365480327633374,-0.7591618596261137,-0.8583010273212802,-0.9134863294824189,-0.5057717741602766,0.35274916497933895,0.14816121700710638,0.3493500797396869,0.18115112295409058,0.3100975503624077,0.28270472393682433,0.23141091691464075,0.30513078353168005,0.1857261054151216,0.20893854872394066,0.2186399656419893,0.3193809153582887
주유소_개수,-0.09096944267412213,0.2158684561052791,-0.004079186783020444,-0.14885500997536252,-0.11958611634869422,-0.5672641791782341,-0.6124465371503781,-0.7509905733935732,-0.16956933298963234,-0.5057717741602766,1.0,0.946429074258711,-0.5370176768238706,-0.5587246554916944,-0.580418634403719,-0.3171093059793622,0.016086992987122305,0.10339127150882317,0.24403933274731684,0.2431299509874977,0.33743833214110974,1.0,0.2089659527534951,0.4538894872277179,0.39716942080966156,0.4994961618308143,0.357119190873396,0.39191637874059454,0.37088047586832384,0.3406536639396684,0.5450545081008269,0.4804827189821454,0.5308880082604623,-0.512041992141417
LPG충전소_개수,-0.06993239160283996,0.3130227836601188,0.034373921302761984,-0.09983414823719022,-0.14088694523169926,-0.4183726833207651,-0.4864909146865381,-0.6634319054142469,-0.006799062246023968,-0.39897280771452304,0.946429074258711,1.0,-0.4350130088753634,-0.6100086754060273,-0.6064762220486409,-0.4259602036272128,-0.11202151130138768,-0.03838993069262449,-0.00944053451796286,0.06075699415803079,0.17602977119730906,0.946429074258711,0.18700555802790456,0.33903904704381355,0.3518621158281222,0.4795570042086787,0.39305376035874906,0.4228908324054232,0.4576295498303738,0.3645289369239751,0.5728549339121111,0.5050536627963748,0.5578284548453679,-0.5875776735682072
혼잡시간강도,-0.2452268529217274,-0.4816003005295967,-0.2524529684735807,-0.276100320642367,-0.2137550260339151,0.4273020342301369,0.575079470580158,0.8412280497280075,-0.2467691623954011,0.9815424590658983,-0.5370176768238706,-0.4350130088753634,1.0,0.8013189238452499,0.8304769816277925,-0.5650200820680827,-0.7846335966292739,-0.8241825686905028,-0.7658053978454901,-0.8707849016927277,-0.917503851208148,-0.5370176768238706,0.23211044898269836,0.006276546105469375,0.22350200294454203,0.05577105642152776,0.19715213326437372,0.1534357573066044,0.13776269690635606,0.18781182257838377,0.03790874442448631,0.08175064562944823,0.08736811518299285,0.341426095622729
공시지가평균,-0.33875502290254716,-0.5861386092235495,-0.36580333081956584,-0.3994025982890251,-0.23920639781669978,0.11685877414732944,0.2771639255048766,0.763536809967871,-0.4978632176272822,0.7126917580606588,-0.5587246554916944,-0.6100086754060273,0.8013189238452499,1.0,0.9959542127453059,-0.2966754742376189,-0.4967208148709586,-0.5093380723218666,-0.33693591904123604,-0.5311275905233728,-0.5922466411430072,-0.5587246554916944,-0.018025601439787098,-0.14348980219071736,-0.03042396746202763,-0.2273857656749795,-0.1272658298267824,-0.20654845654562207,-0.2666107888561981,-0.133965108898127,-0.3323953237353559,-0.2506834347543484,-0.2803924092696814,0.31450625845225055
공시지가중앙값,-0.36346289347100114,-0.5924980757032501,-0.3869466018868049,-0.41463803388168724,-0.27615284391882633,0.15261488736770285,0.31179982648242466,0.7849314980883412,-0.47172147783161084,0.7427143391463382,-0.580418634403719,-0.6064762220486409,0.8304769816277925,0.9959542127453059,1.0,-0.3239470552929179,-0.5315023116900064,-0.5476409071828947,-0.3982101513713895,-0.5760791434708488,-0.632856233543183,-0.580418634403719,0.002038418058386053,-0.1657320705309882,-0.029326162787050025,-0.21601528074491821,-0.09568254106848795,-0.18125315763967198,-0.22495162475353064,-0.10536518814372707,-0.3194566645030783,-0.2274595679043141,-0.2638674657923173,0.2997625273840732
주유소_최솟값,0.3371669921307179,0.2856372002262491,0.3136183971146649,0.4289796026124025,0.37848699022470944,-0.02440938148167413,-0.13575350545684375,-0.20971365933526298,0.3400679994029073,-0.5819701647403979,-0.3171093059793622,-0.4259602036272128,-0.5650200820680827,-0.2966754742376189,-0.3239470552929179,1.0,0.9410692136949269,0.9034918956068789,0.7142246563349564,0.8043588760123938,0.7561964845546315,-0.3171093059793624,-0.4820021420543593,-0.41163932025138794,-0.6068676598429035,-0.5362684187999858,-0.6030698069463712,-0.5676430019113459,-0.530647166176109,-0.5600374304118654,-0.5660030516898605,-0.5759030795465254,-0.6095159292555932,0.29683868472843156
주유소_최소3개평균,0.3301142893642963,0.4006579373902986,0.3431715420861576,0.4076860670203122,0.3620697818905627,-0.26184873041166323,-0.3960291001349364,-0.4934517126141612,0.27612606154327857,-0.7960197714310351,0.016086992987122305,-0.11202151130138768,-0.7846335966292739,-0.4967208148709586,-0.5315023116900064,0.9410692136949269,1.0,0.9939142767828427,0.8386538036095386,0.9377244302758571,0.9234290336941466,0.016086992987122305,-0.4602379396068453,-0.3018889240828336,-0.526794486152345,-0.4163775888983831,-0.5307857625359005,-0.4866175392333184,-0.4563105938155466,-0.4939839127088617,-0.42574844909514487,-0.45949103886721454,-0.4816944301019036,0.08930188666348284
주유소_최소5개평균,0.3205322800661397,0.41389115872301085,0.3416470128189784,0.3865975278622553,0.3539219111020099,-0.35735420889869624,-0.487998836233074,-0.5639341586956234,0.2066381126057655,-0.8365480327633374,0.10339127150882317,-0.03838993069262449,-0.8241825686905028,-0.5093380723218666,-0.5476409071828947,0.9034918956068789,0.9939142767828427,1.0,0.876722175237824,0.9644538136341864,0.9572969226904896,0.10339127150882318,-0.4469223567184051,-0.25820390903272383,-0.49363761249941546,-0.38302588242841445,-0.5093490617596089,-0.4677155497130043,-0.45284025276322837,-0.4757080269080146,-0.3904940816507741,-0.42882346301797203,-0.45101342617007006,0.013146196240973905
lpg_최솟값,0.24136766728349193,0.20096356159633133,0.23247344255662908,0.23388498495427798,0.30810193995621293,-0.5859144818990802,-0.6325763267100133,-0.6467712979097221,-0.194079422706351,-0.7591618596261137,0.24403933274731684,-0.00944053451796286,-0.7658053978454901,-0.33693591904123604,-0.3982101513713895,0.7142246563349564,0.8386538036095386,0.876722175237824,1.0,0.9548099235861334,0.9238916797803399,0.2440393327473169,-0.17867682897952591,0.11151439676191471,-0.1682188849244453,-0.1261988266879893,-0.2987541570529924,-0.2652568013973457,-0.3789533865765829,-0.26332189240403125,-0.18296459161898493,-0.2144294349780617,-0.24197625539468623,-0.03969989999764812
lpg_최소3개평균,0.3158089919995103,0.37531935454734416,0.3277957742750592,0.351285859590065,0.3455943876895824,-0.5159169335869394,-0.615167142313168,-0.7109063638247147,0.020676646934630918,-0.8583010273212802,0.2431299509874977,0.06075699415803079,-0.8707849016927277,-0.5311275905233728,-0.5760791434708488,0.8043588760123938,0.9377244302758571,0.9644538136341864,0.9548099235861334,1.0,0.9896466306225579,0.24312995098749768,-0.2690385445424681,-0.03112583354191667,-0.29398488146170465,-0.19431630836658864,-0.3438806641687621,-0.30419775090890705,-0.356207009326436,-0.3119176007586724,-0.21120569574550227,-0.2507595100746003,-0.2809540275850502,-0.10538083608242435
lpg_최소5개평균,0.27723067227176856,0.4149875937570728,0.30511569164914387,0.3160996029562236,0.2951929224155358,-0.5435885389797969,-0.6593140671138847,-0.7605566217055643,0.05623491078379382,-0.9134863294824189,0.33743833214110974,0.17602977119730906,-0.917503851208148,-0.5922466411430072,-0.632856233543183,0.7561964845546315,0.9234290336941466,0.9572969226904896,0.9238916797803399,0.9896466306225579,1.0,0.33743833214110985,-0.2983117080902726,-0.06614883651867406,-0.3136188977659707,-0.19055115218685603,-0.3367375409173505,-0.30098649547359624,-0.3257919896393682,-0.3118140266549427,-0.19812392650711994,-0.23698505229447367,-0.26423950818592973,-0.18745564554986785
주유소,-0.09096944267412213,0.2158684561052791,-0.004079186783020444,-0.14885500997536252,-0.11958611634869422,-0.5672641791782341,-0.6124465371503781,-0.7509905733935732,-0.16956933298963234,-0.5057717741602766,1.0,0.946429074258711,-0.5370176768238706,-0.5587246554916944,-0.580418634403719,-0.3171093059793624,0.016086992987122305,0.10339127150882318,0.2440393327473169,0.24312995098749768,0.33743833214110985,1.0,0.2089659527534951,0.4538894872277179,0.39716942080966156,0.4994961618308143,0.357119190873396,0.39191637874059454,0.37088047586832384,0.3406536639396684,0.5450545081008269,0.4804827189821454,0.5308880082604623,-0.512041992141417
과학·기술,-0.3168499580660842,-0.4998696138733181,-0.33519231098746827,-0.34806617524372235,-0.36406916917228427,-0.017057365145100402,0.12578498861365903,-0.1529096462801774,-0.4096382863172266,0.35274916497933895,0.2089659527534951,0.18700555802790456,0.23211044898269836,-0.018025601439787098,0.002038418058386053,-0.4820021420543593,-0.4602379396068453,-0.4469223567184051,-0.17867682897952591,-0.2690385445424681,-0.2983117080902726,0.2089659527534951,1.0,0.8388291437019402,0.9379689728238269,0.9439865369355129,0.9643685077909766,0.9552075792004712,0.8541650847334455,0.9746459905078383,0.8538993755702808,0.9365341765969147,0.8919896248372964,0.05818055740652825
교육,0.041991181401330416,-0.1943868196654159,0.01811749428913202,-0.052810903926755345,0.03444824818806025,-0.300421400300554,-0.17784536154908528,-0.3994237025154927,-0.5199388991285143,0.14816121700710638,0.4538894872277179,0.33903904704381355,0.006276546105469375,-0.14348980219071736,-0.1657320705309882,-0.41163932025138794,-0.3018889240828336,-0.25820390903272383,0.11151439676191471,-0.03112583354191667,-0.06614883651867406,0.4538894872277179,0.8388291437019402,1.0,0.9423901122056256,0.8906260537965586,0.7836337032281131,0.8293541000865099,0.6029686217489261,0.8002293002173766,0.8811153071135429,0.8402728283762865,0.8574310915454433,-0.09260128804611337
보건의료,-0.1873008415119068,-0.369258326061263,-0.1905568301387538,-0.2630052335332207,-0.21265555172240455,-0.14015021720128343,0.0009677608486477747,-0.21479814076047313,-0.48496133430905,0.3493500797396869,0.39716942080966156,0.3518621158281222,0.22350200294454203,-0.03042396746202763,-0.029326162787050025,-0.6068676598429035,-0.526794486152345,-0.49363761249941546,-0.1682188849244453,-0.29398488146170465,-0.3136188977659707,0.39716942080966156,0.9379689728238269,0.9423901122056256,1.0,0.9640375448828731,0.923218894890149,0.9429711391390629,0.7895934227784617,0.9308740126509852,0.9297283778378288,0.9393894277209264,0.9449747424749632,-0.029444575289929834
부동산,-0.2601419671806991,-0.33222274284947195,-0.24636655964351406,-0.30309889393360817,-0.31314240443313834,-0.1356398194954686,-0.03204816099253573,-0.3502590243300929,-0.3515998337354523,0.18115112295409058,0.4994961618308143,0.4795570042086787,0.05577105642152776,-0.2273857656749795,-0.21601528074491821,-0.5362684187999858,-0.4163775888983831,-0.38302588242841445,-0.1261988266879893,-0.19431630836658864,-0.19055115218685603,0.4994961618308143,0.9439865369355129,0.8906260537965586,0.9640375448828731,1.0,0.966824167030611,0.9835160745731167,0.8935411459889687,0.9730136111509772,0.9548163343679934,0.9889298954008341,0.9809199118852104,-0.073566713099649
소매,-0.3604424136351282,-0.4118229540584293,-0.3482143418485601,-0.3832501528908685,-0.4344270942845632,-0.021835971404023498,0.09218173413163594,-0.20767393065400108,-0.3204108527662003,0.3100975503624077,0.357119190873396,0.39305376035874906,0.19715213326437372,-0.1272658298267824,-0.09568254106848795,-0.6030698069463712,-0.5307857625359005,-0.5093490617596089,-0.2987541570529924,-0.3438806641687621,-0.3367375409173505,0.357119190873396,0.9643685077909766,0.7836337032281131,0.923218894890149,0.966824167030611,1.0,0.9884238714430581,0.937694446752563,0.997387533713306,0.9080705811796439,0.9835984379360864,0.9503282566701369,-0.07812128002712772
수리·개인,-0.2602742425256865,-0.3336236879765752,-0.24889230673658636,-0.2854676229727589,-0.3314442387087163,-0.008191239308854088,0.09349424720254129,-0.24825831579800206,-0.2683061613267043,0.28270472393682433,0.39191637874059454,0.4228908324054232,0.1534357573066044,-0.20654845654562207,-0.18125315763967198,-0.5676430019113459,-0.4866175392333184,-0.4677155497130043,-0.2652568013973457,-0.30419775090890705,-0.30098649547359624,0.39191637874059454,0.9552075792004712,0.8293541000865099,0.9429711391390629,0.9835160745731167,0.9884238714430581,1.0,0.9362470291637925,0.991744724224057,0.9492439506070603,0.992820798288377,0.9796509220706664,-0.04751373631546063
숙박,-0.44982325422840314,-0.3941391951828632,-0.4184402259617243,-0.43060429588411825,-0.5360170103643328,0.17202262550660533,0.23275597545995966,-0.15812818337713241,-0.030197455138944437,0.23141091691464075,0.37088047586832384,0.4576295498303738,0.13776269690635606,-0.2666107888561981,-0.22495162475353064,-0.530647166176109,-0.4563105938155466,-0.45284025276322837,-0.3789533865765829,-0.356207009326436,-0.3257919896393682,0.37088047586832384,0.8541650847334455,0.6029686217489261,0.7895934227784617,0.8935411459889687,0.937694446752563,0.9362470291637925,1.0,0.9373251732656127,0.8313771706392722,0.9205140859689966,0.9023849468683997,0.05180497255153976
시설관리·임대,-0.34797225333258,-0.42246938843153636,-0.3369235510056541,-0.3680843877702019,-0.4155464686080433,-0.013628334460750747,0.10137708920797721,-0.21001005681854706,-0.31700133384153295,0.30513078353168005,0.3406536639396684,0.3645289369239751,0.18781182257838377,-0.133965108898127,-0.10536518814372707,-0.5600374304118654,-0.4939839127088617,-0.4757080269080146,-0.26332189240403125,-0.3119176007586724,-0.3118140266549427,0.3406536639396684,0.9746459905078383,0.8002293002173766,0.9308740126509852,0.9730136111509772,0.997387533713306,0.991744724224057,0.9373251732656127,1.0,0.9091982232151973,0.9829190451078653,0.9509031769562233,-0.024876733066796334
예술·스포츠,-0.018192809239948635,-0.06786085132166972,0.013694089760749172,-0.0641361496910773,-0.08834703144214956,-0.17522348456891998,-0.09824697683017243,-0.41034895095871154,-0.29338853340651583,0.1857261054151216,0.5450545081008269,0.5728549339121111,0.03790874442448631,-0.3323953237353559,-0.3194566645030783,-0.5660030516898605,-0.42574844909514487,-0.3904940816507741,-0.18296459161898493,-0.21120569574550227,-0.19812392650711994,0.5450545081008269,0.8538993755702808,0.8811153071135429,0.9297283778378288,0.9548163343679934,0.9080705811796439,0.9492439506070603,0.8313771706392722,0.9091982232151973,1.0,0.9636227821408819,0.9836685711523518,-0.21939892925157078
음식,-0.24868462002128203,-0.28051462585526776,-0.22588121316403273,-0.2792257515454947,-0.32297813659794467,-0.11101735067127858,-0.01588177897087666,-0.3400914198737293,-0.31036214184247585,0.20893854872394066,0.4804827189821454,0.5050536627963748,0.08175064562944823,-0.2506834347543484,-0.2274595679043141,-0.5759030795465254,-0.45949103886721454,-0.42882346301797203,-0.2144294349780617,-0.2507595100746003,-0.23698505229447367,0.4804827189821454,0.9365341765969147,0.8402728283762865,0.9393894277209264,0.9889298954008341,0.9835984379360864,0.992820798288377,0.9205140859689966,0.9829190451078653,0.9636227821408819,1.0,0.9852607373250233,-0.14727858322574117
상업수,-0.17956539999099008,-0.21622797650110787,-0.15535680855689507,-0.22173686018419614,-0.24662063416738617,-0.08165206023891071,0.0028983583733675445,-0.3281190098059287,-0.2596559247477738,0.2186399656419893,0.5308880082604623,0.5578284548453679,0.08736811518299285,-0.2803924092696814,-0.2638674657923173,-0.6095159292555932,-0.4816944301019036,-0.45101342617007006,-0.24197625539468623,-0.2809540275850502,-0.26423950818592973,0.5308880082604623,0.8919896248372964,0.8574310915454433,0.9449747424749632,0.9809199118852104,0.9503282566701369,0.9796509220706664,0.9023849468683997,0.9509031769562233,0.9836685711523518,0.9852607373250233,1.0,-0.12741736878047172
인구밀도,-0.26556764256033194,-0.5468255948779375,-0.31057561846285964,-0.22047353921674087,-0.17196743129363376,0.6073756164334704,0.646720878401007,0.5717689876027168,0.24222566648230004,0.3193809153582887,-0.512041992141417,-0.5875776735682072,0.341426095622729,0.31450625845225055,0.2997625273840732,0.29683868472843156,0.08930188666348284,0.013146196240973905,-0.03969989999764812,-0.10538083608242435,-0.18745564554986785,-0.512041992141417,0.05818055740652825,-0.09260128804611337,-0.029444575289929834,-0.073566713099649,-0.07812128002712772,-0.04751373631546063,0.05180497255153976,-0.024876733066796334,-0.21939892925157078,-0.14727858322574117,-0.12741736878047172,1.0
