지도코드,지도_동,시,구,동,행정코드,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,인구밀도,혼잡시간강도,공시지가평균,공시지가중앙값,위도,경도,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,거리_최솟값,최소거리2개평균,입지선정지수
27140111,방촌동,대구광역시,동구,방촌동,2202068,12860.0,10415.0,670.0,1775.0,91.75,4,1,21560.31746,94.97,1184206.383,1012000,35.8800556,128.6652466,449.3382585,539.1735812,557.1406457,744.650053,1845.263055,2402.43066,54,32,10,18,230,167,2,28,54,321,916,2973.2192866122973,4438.267964147051,-10066.293513325998
27110123,동성로2가,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,18329045.45,12200000,35.8700737,128.5956082,460.6667658,634.369327,726.4117334,953.4893544,1151.548106,1564.81876,24,9,22,8,155,16,0,8,11,71,324,1071.633966761094,3065.2733281980973,-9435.536476
27110105,삼덕동1가,대구광역시,중구,삼덕동,2201054,16679.0,14398.0,537.0,1744.0,69.64,0,0,800.0,84.65,7121206.897,4793000,35.8662987,128.5983625,415.5540428,608.9221751,796.8140227,527.3635067,843.7305021,1278.244035,30,13,25,16,188,54,2,7,43,255,633,595.5292772626665,2966.270144678078,-9183.2062
27290112,죽전동,대구광역시,달서구,죽전동,2207058,13081.0,10666.0,715.0,1700.0,64.37,2,0,19385.13514,78.0,1691500.0,1402500,35.85779,128.539013,200.889095,362.9951782,507.5352559,633.5156379,1076.631021,1212.552384,65,21,18,17,130,104,4,31,32,152,574,3578.024294317327,4126.320993201092,-9003.343621733999
27110107,삼덕동3가,대구광역시,중구,삼덕동,2201054,16679.0,14398.0,537.0,1744.0,69.64,0,0,14133.33333,84.65,1791692.308,1657000,35.8645571,128.6092875,589.1937457,805.5638987,895.7120736,462.2266292,501.7110446,820.4310288,55,16,2,14,45,55,3,6,2,114,312,589.2589547616715,2461.368478840231,-8955.651699923
27110106,삼덕동2가,대구광역시,중구,삼덕동,2201054,16679.0,14398.0,537.0,1744.0,69.64,0,0,11426.92308,84.65,2598456.522,2097500,35.8655904,128.6026125,329.4129733,495.2023809,688.2240956,148.8092793,519.0670244,958.4117976,64,8,34,11,85,38,5,29,12,158,444,330.50583191113776,2638.089887131141,-8943.547623148
27110119,동성로3가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,11325250.0,10429000,35.8676904,128.5938875,645.7527876,817.2505635,899.9924531,959.9249665,1211.423145,1647.709524,9,25,9,4,69,11,3,2,8,86,226,1009.9146547421288,3025.7365805918294,-8892.306394000001
27110117,남일동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,6837076.923,7868000,35.8693901,128.5942224,582.2457982,682.5897967,781.8731565,1013.609539,1229.168602,1628.603919,5,17,8,2,26,14,0,3,4,56,135,1102.934990078655,3041.4796420924067,-8623.095976
27290113,감삼동,대구광역시,달서구,감삼동,2207057,13246.0,11026.0,628.0,1592.0,69.08,2,2,25261.86441,78.36,1844593.939,1426500,35.8515466,128.5502823,730.8010023,842.3396051,1000.30371,632.1667828,785.0741393,1081.344023,126,64,31,73,364,261,7,52,57,506,1541,4256.018701789742,4595.974415021003,-8615.205807871
27110148,동성로1가,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,6274857.143,7762000,35.8730919,128.5957162,450.9011242,520.14872,612.4159559,1179.734584,1296.44877,1622.481371,0,4,0,0,142,3,0,1,1,5,156,1341.2483630645688,3137.2640609333685,-8595.900475999999
27110112,덕산동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,8000571.429,8035000,35.8660855,128.5932916,768.5175896,932.1429068,1012.200264,967.4885122,1241.459868,1699.976397,12,14,19,6,319,43,0,4,7,95,519,972.5698836687468,3028.219814529856,-8546.863976
27110122,공평동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,7881744.444,6677000,35.8696654,128.597925,248.0052553,558.0729146,688.7802186,767.3707113,975.1584994,1377.179015,26,11,26,13,76,51,1,29,24,172,429,912.5378262118692,3090.033027037915,-8300.958976
27110115,사일동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,6041000.0,4575500,35.8711407,128.5943675,541.5760964,573.4563644,676.9896423,1115.106611,1286.572827,1639.641007,18,4,3,3,16,7,0,5,5,20,81,1234.3534355470708,3070.7774734117315,-7980.012976
27110101,동인동1가,대구광역시,중구,동인동,2201070,11508.0,9861.0,427.0,1221.0,59.1,2,0,13277.77778,75.1,1822368.0,1815000,35.8725122,128.60349,160.1049638,257.9027904,502.5835919,486.1556426,763.6957583,1125.051293,24,1,0,3,26,5,1,33,2,61,156,1094.578105907009,3106.4424617383797,-7906.285666717999
27260102,만촌동,대구광역시,수성구,만촌동,2206055,11226.0,9276.5,604.0,1345.0,69.405,24,1,8299.84,76.35,2216154.338,1610000,35.8663111,128.6399664,255.1815514,339.3886535,373.4424679,112.8103024,857.4928379,1195.33493,220,216,26,91,482,292,7,73,78,515,2000,1933.3843575281203,2639.46868781131,-7893.573403999999
27110157,대봉동,대구광역시,중구,대봉동,2201068,9659.0,8251.0,435.0,972.0,62.98,2,1,14926.19,78.06,2050974.83,1772000,35.861649,128.6043,150.1347947,585.4361445,817.2633203,37.27445485,461.2224551,974.2621248,197,43,12,36,397,160,3,78,31,328,1285,149.12680301034882,2426.823121109021,-7871.903129
27230107,노원동1가,대구광역시,북구,노원동,2205081,8731.0,7020.0,300.0,1412.0,73.35,1,0,9283.870968,81.57,1472489.744,1387000,35.8890571,128.5798375,82.46149382,484.8407196,674.4500283,553.4621465,1182.180022,1908.198126,55,6,0,6,36,25,1,10,13,122,274,3144.3569465006567,3377.41353177946,-7793.182999360799
27230108,노원동2가,대구광역시,북구,노원동,2205081,8731.0,7020.0,300.0,1412.0,73.35,1,0,9535.897436,81.57,1394567.273,1260000,35.8911154,128.5737,321.3743736,452.4891409,542.5833531,284.1047035,962.0877894,1807.815843,12,1,3,8,54,32,4,10,11,105,240,2594.4514528373998,3363.1074284686724,-7783.311810771599
27110151,화전동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,3134272.727,3509000,35.8731718,128.5948048,381.8637483,472.1560461,599.8787025,1244.49239,1360.999109,1663.724198,2,0,0,0,31,1,1,1,1,10,47,1391.9724358946771,3122.8150536320404,-7776.419976
27290118,유천동,대구광역시,달서구,월성1동,2207062,6685.0,5388.0,314.0,983.0,54.86,3,0,26760.8,73.15,2148446.667,2365000,35.8155,128.5132,251.3817697,314.087087,443.0485185,918.0139658,1505.1682,1972.290505,9,60,2,6,62,48,0,1,18,74,280,3780.7837560668186,6248.664413171611,-7774.22878
27110103,동인동3가,대구광역시,중구,동인동,2201070,11508.0,9861.0,427.0,1221.0,59.1,0,0,11355.88235,75.1,1471883.929,1389000,35.8721571,128.609925,391.1354026,492.6039616,715.8891726,167.399122,556.415546,900.8672521,62,5,0,5,48,28,1,14,4,20,187,1217.2910886164016,2894.745692746916,-7767.839382284999
27110102,동인동2가,대구광역시,중구,동인동,2201070,11508.0,9861.0,427.0,1221.0,59.1,1,1,5440.0,75.1,2258040.0,2124000,35.8691321,128.6032625,238.7607981,329.500299,538.7044766,491.9156275,665.9977113,1006.261849,33,7,2,7,33,11,9,41,5,86,234,719.2401113334524,2861.0015553100734,-7764.764
27110110,상서동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,3332666.667,4304000,35.8704635,128.5899558,574.6740711,604.0362223,813.8236173,1408.905479,1599.209991,1863.250094,0,5,1,0,5,0,1,1,0,4,17,1477.1704000634645,3030.071402660609,-7726.975893999999
27110121,문화동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,4462200.0,3105500,35.8712741,128.5973288,357.6051047,573.6933987,648.0934931,936.5300603,1090.708271,1467.862193,6,4,4,3,37,13,3,2,2,62,136,1093.9147532606182,3119.6310521054133,-7670.310476
27110104,동인동4가,대구광역시,중구,동인동,2201070,11508.0,9861.0,427.0,1221.0,59.1,0,0,9251.851852,75.1,1587671.93,1408000,35.8677,128.6103,654.7135174,734.8518678,839.2455402,179.3601649,495.9657255,775.3847737,65,7,1,9,72,54,0,17,9,156,390,851.6694851676968,2601.068604048632,-7665.0797777811995
27110137,남성로,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,4054666.667,4045000,35.8683,128.58952,817.92519,845.470819,977.522668,1355.568582,1580.703255,1891.525274,7,9,3,0,38,12,2,2,0,40,113,1385.3410535347628,3025.4123349803262,-7647.767894
27110127,상덕동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,2333.333333,62.36,2946000.0,2946000,35.8737674,128.5977783,536.67616,589.7232209,633.5805817,994.3087275,1199.123558,1536.603758,1,0,0,0,10,0,0,0,0,2,13,1327.1112634938568,3203.560970042456,-7603.713539992299
27260118,신매동,대구광역시,수성구,고산1동,2206071,6862.0,5597.0,362.0,903.0,67.93,4,0,7936.0,78.2,2661754.762,1989000,35.8353571,128.7121375,470.4066033,559.9595206,993.425326,4144.643229,4659.83462,5621.833777,33,129,25,26,246,142,0,9,60,387,1057,5526.655121299374,5727.299819395244,-7594.2245
27110116,동일동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,3563000.0,3563000,35.8697204,128.5927741,650.1836476,678.2887211,785.5193274,1145.334568,1351.700709,1706.41427,1,0,1,1,7,0,3,1,2,17,33,1225.4838061340556,3036.1689677045497,-7574.207893999999
27110120,동문동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,3807100.0,2799500,35.8719869,128.5984757,335.9230442,519.6873293,615.0124601,941.5672794,1060.660063,1411.269061,23,7,0,5,69,23,7,14,3,117,268,1120.3445832300026,3165.3098361657185,-7571.424475999999
27230109,노원동3가,대구광역시,북구,노원동,2205081,8731.0,7020.0,300.0,1412.0,73.35,6,1,2017.030568,81.57,1602972.941,1434000,35.8964,128.5674,413.4128909,560.1701257,715.5210519,671.2009545,1244.258826,2013.88511,38,6,4,28,174,95,5,21,12,164,547,2154.3599374133155,3550.6981522926194,-7556.7774861208
27110124,태평로1가,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5906.25,62.36,2768600.0,2407000,35.8747194,128.5981281,586.4196698,620.9370841,654.8163705,973.6735607,1226.362903,1561.586935,11,1,0,3,38,14,1,5,2,23,98,1415.2905017200508,3244.705759451905,-7554.180414999999
27140103,효목동,대구광역시,동구,효목동,2202060,11887.0,10023.0,439.0,1426.0,63.23,4,1,12283.33333,76.28,1290505.714,1084000,35.8816208,128.6448881,246.734487,476.574155,581.9063234,106.9870359,1035.647696,1335.561835,139,28,10,32,302,164,25,50,64,493,1307,3169.00532404973,3741.212264753734,-7539.990019923
27110150,북성로1가,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,2677287.5,2348000,35.874334,128.5936458,218.6274717,311.8741363,535.3279907,1370.807846,1507.808348,1747.974607,27,17,2,6,30,9,9,8,0,28,136,1557.2261811482038,3132.990901622002,-7518.810476
27230106,침산동,대구광역시,북구,침산동,2205055,10784.5,9043.0,319.0,1422.5,68.545,6,1,12441.64,80.015,1282229.63,1209000,35.8903321,128.581175,122.0243916,604.2528672,756.8454514,699.7623229,1206.597126,1855.845189,78,143,24,28,253,155,0,28,62,387,1158,3265.212198734052,3462.185991348418,-7517.278993999999
27110126,용덕동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,2714777.778,2130000,35.8739641,128.5966941,482.021377,547.0888362,623.7721227,1093.280566,1287.519877,1611.721052,0,1,0,1,57,3,0,0,0,3,65,1385.999657016669,3183.317460089588,-7495.480976
27290102,두류동,대구광역시,달서구,두류동,2207055,11644.0,9968.0,603.0,1073.0,56.58,0,0,9599.59,70.29,1627209.259,1303000,35.8541,128.5617,558.2878928,872.8669267,1034.062746,214.8452858,525.9844302,1032.962399,204,48,18,57,366,196,11,99,72,535,1606,3866.5195298576177,4045.170905840388,-7495.176189000001
27110143,포정동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,5100.0,71.1,4192888.889,3176000,35.871904,128.5929111,415.1932633,480.7300375,652.1611458,1270.555276,1427.734343,1723.425039,5,2,2,3,38,9,0,6,6,56,127,1384.7328009243126,3068.535810027788,-7434.8649
27110136,하서동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,2805500.0,2805500,35.8702087,128.5880417,650.5645731,673.7179931,897.8194781,1553.794564,1747.471832,1971.008406,0,0,0,2,4,2,0,1,0,4,13,1605.3713715345848,3024.8543714339803,-7428.417893999999
27110125,교동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,1962772.0,1957000,35.8733688,128.5988572,455.1384565,548.1389529,618.0014095,895.7576189,1102.725377,1444.949841,5,3,0,3,141,15,1,4,0,36,208,1252.265615306481,3219.5056532562376,-7420.054475999999
27110139,계산동2가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,3784500.0,3279000,35.8677237,128.58825,904.7896072,929.5611037,1036.844568,1449.651341,1679.137269,1972.645867,11,2,1,7,256,16,1,10,3,70,377,1462.7573513477798,3031.6814484027627,-7419.1958939999995
27110128,완전동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,1601350.0,1641500,35.872549,128.5992567,357.2892825,481.7678926,605.3468744,864.1592432,1035.942707,1381.125005,3,1,0,0,15,6,0,0,0,17,42,1154.595314462887,3203.694001961513,-7404.347476
27110138,계산동1가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,2307666.667,2541000,35.8692701,128.5863501,813.0855331,831.6846847,1032.871507,1660.924481,1866.183896,2073.474705,18,3,1,0,2,1,0,1,0,7,33,1689.6793631993555,3027.1136683120912,-7369.807893999999
27110144,서문로1가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,2034808.333,2491500,35.8716434,128.589237,462.8353375,490.1636233,736.9178044,1528.464673,1698.201034,1911.006817,6,2,1,3,7,3,0,6,0,14,42,1607.9944625473884,3036.7183671004664,-7357.338393999999
27110114,종로2가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,2310.344828,71.1,2966111.111,3088000,35.8683546,128.5919772,794.9375307,799.4343721,901.4751506,1147.302866,1378.81851,1750.097065,2,2,0,0,19,7,6,0,2,87,125,1194.8741810448491,3024.912081785787,-7353.3948655268
27260119,욱수동,대구광역시,수성구,고산1동,2206071,6862.0,5597.0,362.0,903.0,67.93,0,0,2570.0,78.2,535012.1212,42100,35.812333,128.70285,2999.769005,3043.416402,3192.354586,6771.105798,6812.128676,7164.491582,6,10,3,4,18,16,1,4,10,45,117,6326.497304231334,7470.962164521403,-7349.2599
27110108,봉산동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,3304371.053,2257000,35.8631,128.5973,534.6439993,782.4570093,927.5624062,620.4827724,919.1315383,1402.274477,73,40,24,11,225,95,7,21,10,204,710,535.0740182436531,2945.1221025636787,-7336.733475999999
27110142,서성로2가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,2331000.0,2331000,35.8700837,128.587198,696.7206992,717.0147531,944.1172165,1619.043092,1813.993883,2020.163271,0,0,0,0,5,2,0,0,2,4,13,1663.9023130740688,3024.329509778983,-7333.517893999999
27110146,북성로2가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,1894000.0,2295500,35.8739383,128.589198,239.8876806,265.3698719,568.6486909,1673.666842,1802.874561,1946.996944,1,0,0,0,11,0,0,1,0,7,20,1779.751057990917,3066.9230652342567,-7324.419394
27110149,태평로2가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,1,0,6619.74,71.1,2013000.0,2140000,35.8755954,128.5924938,71.46641437,164.8881424,448.0088875,1491.519353,1664.122452,1838.160367,3,0,0,0,9,5,1,2,0,11,31,1731.4040761085273,3146.758094512176,-7290.178894
27110109,장관동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,1915200.0,2017000,35.8688352,128.5905569,748.5016333,779.1879002,914.0166084,1286.139006,1505.467824,1828.533315,2,1,0,0,6,3,3,0,4,17,36,1332.1134067472296,3024.5460130268807,-7264.151393999999
27110113,종로1가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,3354.83871,71.1,2798963.636,2649000,35.8703141,128.5911525,579.3277066,616.8686267,789.960593,1305.441602,1498.780477,1796.777624,43,16,1,4,34,15,15,20,3,74,225,1380.839546340804,3033.6662836124538,-7261.172674201
27110111,수동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,2399600.0,2036000,35.8697086,128.5891331,671.5014986,698.2983819,901.4700118,1441.427562,1643.961911,1908.190791,5,5,2,1,18,9,0,7,2,22,71,1492.3420767951552,3024.894929972404,-7257.958893999999
27110147,대안동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,1708057.895,1924000,35.8731314,128.5913806,266.2016328,312.1585022,572.0228473,1463.742633,1599.886212,1821.878588,7,3,0,1,18,6,4,2,0,25,66,1578.4933384470728,3074.527363765448,-7236.986394
27110118,전동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,2585857.143,1769000,35.8707366,128.5928213,539.7071794,598.362961,719.4388232,1200.381857,1384.371636,1711.721945,0,0,0,0,6,2,3,3,1,20,35,1297.4643093378425,3048.847746015123,-7214.836893999999
27110131,태평로3가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,2,1,9140.625,71.1,1731500.0,1373500,35.876815,128.587437,195.0602672,316.6830114,524.9154801,1796.335348,1920.708111,2103.464834,4,1,1,0,13,7,0,0,0,7,33,2120.4658753850013,3103.6492271766247,-7194.540337499999
27110145,서내동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,1519220.0,1444000,35.8726825,128.5886485,381.7422508,405.1387709,680.288385,1633.944484,1786.581965,1954.597224,1,0,0,1,7,1,0,1,0,3,14,1722.171541135111,3044.5839718773905,-7155.832393999999
27110152,향촌동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,1930000.0,1553000,35.873316,128.5936834,302.2846862,387.1209966,587.7109287,1324.817685,1445.337276,1717.378615,1,2,0,1,31,9,4,2,1,43,94,1462.5342378540884,3108.2126230618014,-7154.792393999999
27110130,수창동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,1383389.655,1410000,35.8752654,128.5847375,448.6788937,546.1578574,704.3902953,1777.85278,2015.253881,2176.716894,1,3,1,8,21,4,3,3,0,27,71,2176.929461415787,3051.5295537017,-7132.758894
27110153,북내동,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,1151512.5,1125050,35.8729818,128.5896469,310.7284325,340.8176298,618.7932162,1577.871112,1722.762964,1906.570019,3,0,0,0,0,0,1,1,0,0,5,1676.9199019807372,3055.7228270309274,-7094.611894
27110135,시장북로,대구광역시,중구,대신동,2201062,6078.0,5136.0,343.0,599.0,53.54,0,0,6153.16,69.04,1933800.0,1910000,35.8721149,128.5824413,793.9039289,856.3584694,1013.702752,1986.218338,2137.809553,2272.922261,3,3,1,1,12,9,3,0,0,8,40,2148.7772113082315,3024.3830900655425,-7046.326155999999
27260109,상동,대구광역시,수성구,상동,2206064,9313.0,7940.0,390.0,983.0,56.14,10,1,11048.87218,69.59,1818961.446,1635000,35.8321069,128.6154039,228.4524364,362.3548553,546.7071387,696.4604799,1164.494602,2035.233291,131,58,1,52,210,171,6,35,33,232,929,3563.817752508596,3980.6215091518825,-7045.587907357999
27170108,원대동2가,대구광역시,서구,원대동,2203068,8416.0,7047.0,386.0,984.0,45.82,0,0,16000.0,65.58,1259762.5,1136500,35.8842321,128.580025,280.9240674,505.7503437,643.4066762,743.1342282,1464.792989,2007.346104,11,2,0,0,10,7,0,2,1,24,57,3180.242315101872,3198.929839052792,-6981.137819999999
27170107,원대동1가,대구광역시,서구,원대동,2203068,8416.0,7047.0,386.0,984.0,45.82,1,0,16000.0,65.58,991616.129,916900,35.8816154,128.5768,132.9707129,440.9892953,658.5891988,818.1157077,1556.218782,2038.443267,11,2,0,8,45,22,0,1,2,42,133,3005.2785350245485,3092.583706000014,-6915.5198199999995
27170109,원대동3가,대구광역시,서구,원대동,2203068,8416.0,7047.0,386.0,984.0,45.82,0,0,16000.0,65.58,1085488.372,893100,35.8857237,128.5756375,355.6377595,400.0860289,496.9445543,357.8958173,1206.490901,1882.333355,8,6,2,9,62,26,3,9,7,81,213,2798.840049427253,3184.724063991744,-6887.919819999999
27290120,월성동,대구광역시,달서구,월성1동,2207062,6685.0,5388.0,314.0,983.0,54.86,3,1,3704.0,73.15,2055009.524,1992000,35.8195561,128.5228806,127.5292334,310.7132203,536.9903146,1082.769789,1601.094575,1744.847562,68,161,26,41,270,203,0,23,102,425,1319,4008.299526384929,6020.095924325822,-6870.3822
27200101,이천동,대구광역시,남구,이천동,2204051,8397.0,7235.0,229.0,933.0,62.22,1,1,11698.16514,72.46,1441220.588,1383000,35.8537107,128.5994252,461.967204,551.3193964,650.5864047,969.5835486,1405.221634,1731.340945,57,27,3,14,116,67,1,19,18,121,443,1048.8056443054932,3062.912077207519,-6854.667554733999
