학교명,소재지지번주소,위도,경도
대구보건고등학교,대구광역시 달서구 두류동 1207-1,35.85810993,128.5726243
한울안중학교,대구광역시 달성군 현풍읍 지리 988,35.66893799,128.4308448
대구상원고등학교,대구광역시 달서구 상인동 1,35.82168481,128.5394052
대구고등학교,대구광역시 남구 대명동 187,35.84910923,128.588795
신아중학교,대구광역시 동구 신암동 28,35.8882462,128.634902
정화여자고등학교,대구광역시 수성구 범어동 산105-1,35.84940778,128.6418878
대구남덕초등학교,대구광역시 남구 대명동 531-1,35.83306282,128.5739472
새본리중학교,대구광역시 달서구 본리동 330-1,35.83942395,128.5409677
대구운암초등학교,대구광역시 북구 구암동 789-4,35.935603,128.565682
대구욱수초등학교,대구광역시 수성구 신매동 602,35.83137706,128.7077006
경상중학교,대구광역시 남구 대명동 1819-11,35.85261994,128.5853705
성명여자중학교,대구광역시 중구 동산동 206,35.86838328,128.584035
대구이현초등학교,대구광역시 서구 평리동 1500,35.87348606,128.5503997
서대구중학교,대구광역시 서구 평리동 509,35.88031044,128.556626
대구한샘초등학교,대구광역시 달서구 대천동 467,35.816984,128.5188133
도원고등학교,대구광역시 달서구 도원동 1453,35.80527659,128.5454882
구지중학교,대구광역시 달성군 구지면 창리 1441,35.66055732,128.4196709
대구남도초등학교,대구광역시 남구 대명동 1709,35.84427387,128.5813642
월암중학교,대구광역시 달서구 월성동 774-1,35.82716419,128.5238094
대구송정초등학교,대구광역시 동구 괴전동 169,35.87060567,128.7340252
대구해서초등학교,대구광역시 동구 봉무동 1571,35.91807034,128.6430541
대구서부초등학교,대구광역시 서구 비산동 405-1,35.87387969,128.5737138
입석중학교,대구광역시 동구 입석동 951,35.89105364,128.6448032
새론중학교,대구광역시 동구 신서동 1137,35.87917295,128.7250938
대구두산초등학교,대구광역시 수성구 지산동 1043,35.83259729,128.6260889
대진고등학교,대구광역시 달서구 대곡동 1036,35.80569844,128.518376
대구대성초등학교,대구광역시 서구 비산동 169-1,35.87040591,128.5771526
사수중학교,대구광역시 북구 사수동 815,35.89975825,128.5158207
대구소프트웨어마이스터고등학교,대구광역시 달성군 구지면 창리 324,35.66325082,128.4136189
대구조암초등학교,대구광역시 달서구 월성동 572,35.824023,128.5284353
효령고등학교,대구광역시 군위군 효령면 중구리 355,36.15464034,128.5778532
협성경복중학교,대구광역시 남구 봉덕동 1322-3,35.83479736,128.5985816
소선여자중학교,대구광역시 수성구 만촌동 862-17,35.85294967,128.6497965
대구성지초등학교,대구광역시 달서구 용산동 412-4,35.85329006,128.5187152
학산중학교,대구광역시 달서구 월성동 82,35.83142406,128.5257973
대구일중학교,대구광역시 북구 침산동 400-4,35.88627468,128.5841979
대구태현초등학교,대구광역시 북구 태전동 317-1,35.92816804,128.5406321
대구성북초등학교,대구광역시 북구 서변동 861,35.92640879,128.5942863
대구중학교,대구광역시 남구 이천동 258,35.85007863,128.6036800318
조일고등학교,대구광역시 동구 신평동 50,35.8820852,128.6944554
대구일마이스터고등학교,대구광역시 동구 효목동 212,35.88205162,128.6472193
대구진천초등학교,대구광역시 달서구 진천동 687-5,35.8112815,128.5195472
심인고등학교,대구광역시 달성군 다사읍 죽곡리 816,35.85317023,128.465259
대구송현초등학교,대구광역시 달서구 송현동 1908,35.82868737,128.544857
노변중학교,대구광역시 수성구 노변동 735,35.83808624,128.6943549
경북대학교사범대학부설초등학교,대구광역시 중구 봉산동 162,35.86358373,128.5980664
대구포산초등학교,대구광역시 달성군 현풍읍 중리 483,35.69487555,128.452641
대구동평초등학교,대구광역시 북구 동천동 915-1,35.93900005,128.5608205
대구동곡초등학교,대구광역시 달성군 하빈면 동곡리 142,35.87936389,128.4173532
대구비산초등학교,대구광역시 서구 평리동 662-1,35.878748,128.5643247
대구다사초등학교,대구광역시 달성군 다사읍 매곡리 465,35.8694288,128.4584848
대구천내초등학교,대구광역시 달성군 화원읍 구라리 1557,35.80943449,128.501982
계성고등학교,대구광역시 서구 상리동 산119,35.87117298,128.5283449
대구중앙고등학교,대구광역시 수성구 수성동4가 1145-1,35.86646267,128.6172837
대구중앙중학교,대구광역시 수성구 수성동4가 1145-1,35.86646267,128.6172837
계성초등학교,대구광역시 중구 대신동 280-2,35.86566471,128.5811278
대구관광고등학교,대구광역시 동구 신암동 80,35.89004876,128.6323701
경북대학교사범대학부설중학교,대구광역시 중구 대봉동 60-19,35.8625154,128.6006135
범물중학교,대구광역시 수성구 범물동 1366,35.81501767,128.6398567
대구상원초등학교,대구광역시 달서구 상인동 1588,35.80636651,128.5506747
대구인지초등학교,대구광역시 서구 비산동 1025-10,35.88618347,128.5672852
대구월촌초등학교,대구광역시 달서구 상인동 1519,35.81635707,128.5432703
대구입석초등학교,대구광역시 동구 입석동 943-12,35.89069195,128.6439985
대구매동초등학교,대구광역시 수성구 매호동 1010,35.845232,128.709215
고산중학교,대구광역시 수성구 시지동 62,35.84528337,128.6986708
성당중학교,대구광역시 달서구 본리동 166-16,35.840505,128.548237
경북기계공업고등학교,대구광역시 달서구 상인동 1-6,35.82211269,128.5424753
경서중학교,대구광역시 달성군 옥포읍 교항리 2946,35.78280765,128.4451379
대구경동초등학교,대구광역시 수성구 범어동 89,35.85220646,128.639355
대구관문초등학교,대구광역시 북구 매천동 743,35.90869955,128.5461555
대구장기초등학교,대구광역시 달서구 장기동 813-3,35.84439346,128.5290125
대구한실초등학교,대구광역시 달서구 대곡동 1106,35.79831931,128.5285639
오성고등학교,대구광역시 수성구 만촌동 1070,35.85447266,128.6447837
이곡중학교,대구광역시 달서구 이곡동 1333,35.86211601,128.5118478
대구서동초등학교,대구광역시 달성군 다사읍 서재리 928,35.871805,128.4884318
대구도림초등학교,대구광역시 달성군 다사읍 서재리 32,35.878105,128.4997991
대구금계초등학교,대구광역시 달성군 옥포읍 교항리 1503,35.788889,128.443749
대구제일중학교,대구광역시 중구 봉산동 230-1,35.86152514,128.5970111
대구세천초등학교,대구광역시 달성군 다사읍 세천리 1586,35.874394,128.4814697
성산고등학교,대구광역시 달서구 용산동 508-2,35.86224357,128.5200481
대구학산초등학교,대구광역시 달서구 월성동 82-1,35.83110936,128.5260827
대구용천초등학교,대구광역시 달서구 유천동 620,35.81972464,128.5125985
대구신성초등학교,대구광역시 동구 신암동 134-87,35.89012307,128.6289423
효성중학교,대구광역시 달서구 월성동 247,35.83430422,128.5284024
동평중학교,대구광역시 북구 구암동 787-4,35.93717488,128.563522
율원중학교,대구광역시 동구 율하동 1623,35.86138631,128.701872
대건고등학교,대구광역시 달서구 월성동 247,35.833952,128.5281133
대구서도초등학교,대구광역시 서구 평리동 1111-1,35.86727153,128.5653531
대구공산초등학교,대구광역시 동구 백안동 658-1,35.9564807,128.6906261
호산고등학교,대구광역시 달서구 호산동 357-59,35.8490573,128.4818071
대구효령초등학교,대구광역시 군위군 효령면 중구리 197,36.15676228,128.5860147
대구대남초등학교,대구광역시 달서구 송현동 1961,35.824103,128.5517486
대구신매초등학교,대구광역시 수성구 신매동 583,35.83660884,128.7092663
대구반송초등학교,대구광역시 달성군 옥포읍 반송리 151,35.75661793,128.4946928
대구만촌초등학교,대구광역시 수성구 만촌동 980,35.86668961,128.6479227
대구율하초등학교,대구광역시 동구 율하동 950,35.86781392,128.7015382
대구비봉초등학교,대구광역시 서구 비산동 705-1,35.88276366,128.5686561
서대구초등학교,대구광역시 서구 비산동 1484,35.889414,128.5577335
평리중학교,대구광역시 서구 평리동 1070-7,35.87323246,128.5615509
포산고등학교,대구광역시 달성군 현풍읍 중리 407-2,35.69081479,128.447956
대구달성초등학교,대구광역시 서구 원대동1가 12,35.88281808,128.5792104
대구본리초등학교,대구광역시 달서구 감삼동 338,35.84457479,128.5386389
원화여자고등학교,대구광역시 달서구 성당동 670-30,35.84830827,128.5491224
경암중학교,대구광역시 달서구 성당동 670-29,35.848377,128.5486078
대구구지초등학교,대구광역시 달성군 구지면 창리 385,35.66021157,128.412588
대구호산초등학교,대구광역시 달서구 호산동 357-57,35.84907047,128.4790049
서동중학교,대구광역시 달성군 다사읍 서재리 485,35.86763317,128.4968732
영진고등학교,대구광역시 북구 복현동 332-1,35.89461538,128.6220754
정화중학교,대구광역시 수성구 범어동 산105-1,35.84940778,128.6418878
대구와룡초등학교,대구광역시 달서구 이곡동 1191-1,35.85707321,128.501828
대구방촌초등학교,대구광역시 동구 방촌동 1072-6,35.880646,128.6630356
경일중학교,대구광역시 서구 원대동1가 440,35.88139487,128.5763528
대구성명초등학교,대구광역시 남구 대명동 3050,35.84515662,128.5708211
서재중학교,대구광역시 달성군 다사읍 서재리 302,35.873349,128.4995437
대구대봉초등학교,대구광역시 남구 이천동 253-2,35.85166409,128.6048079
대구세현초등학교,대구광역시 달성군 구지면 창리 1446,35.65978473,128.4198074
경운중학교,대구광역시 서구 내당동 352-4,35.85972807,128.553556
대건중학교,대구광역시 달서구 월성동 247,35.83395004,128.5281133
대구고산초등학교,대구광역시 수성구 시지동 161-1,35.84395419,128.693156
대구효신초등학교,대구광역시 동구 신천동 490,35.87266981,128.632117
월배중학교,대구광역시 달서구 진천동 811,35.81361315,128.532188
대원고등학교,대구광역시 달성군 화원읍 본리리 1-1,35.80668948,128.5070767
달성중학교,대구광역시 달성군 화원읍 명곡리 261,35.80080717,128.4933042
효성초등학교,대구광역시 달서구 송현동 898-4,35.82406479,128.5429938
경혜여자중학교,대구광역시 남구 대명동 3056-26,35.84318216,128.5641032
대륜고등학교,대구광역시 수성구 만촌동 산241,35.85168394,128.6567622
정동고등학교,대구광역시 동구 용계동 산38-6,35.87674854,128.6928649
대구삼육초등학교,대구광역시 수성구 중동 410-1,35.83976721,128.610665
대구매호초등학교,대구광역시 수성구 매호동 611-1,35.84150742,128.7121182
대구덕성초등학교,대구광역시 동구 신암동 279-1,35.88210504,128.6284765
대구금포초등학교,대구광역시 달성군 논공읍 금포리 1496,35.77429302,128.4254986
성화여자고등학교,대구광역시 북구 복현동 540-1,35.9032298,128.620265
효성여자고등학교,대구광역시 달서구 월성동 247,35.83430422,128.5284024
운암고등학교,대구광역시 북구 구암동 787,35.938834,128.5637524
덕원중학교,대구광역시 수성구 욱수동 81,35.82572222,128.705953
군위중학교우보분교장,대구광역시 군위군 우보면 이화리 1414-24,36.187536,128.6665367
대구일과학고등학교,대구광역시 동구 각산동 1046,35.88656282,128.7226999
대구팔달초등학교,대구광역시 북구 팔달동 73-4,35.89795044,128.5449083
대구상인초등학교,대구광역시 달서구 상인동 481,35.81293403,128.5426728
동문고등학교,대구광역시 수성구 만촌동 82-4,35.87730148,128.6510319
대구동성초등학교,대구광역시 수성구 수성동1가 282,35.85344552,128.6127108
달서중학교,대구광역시 달성군 하빈면 감문리 816,35.8861993,128.4214028
신기중학교,대구광역시 동구 신기동 578,35.86816727,128.7023577
달구벌고등학교,대구광역시 동구 덕곡동 75-5,35.99454114,128.6108132
대구새론초등학교,대구광역시 동구 각산동 1059,35.88439053,128.7170845
대구교육대학교대구부설초등학교,대구광역시 달서구 도원동 1441-1,35.80596892,128.5323853
현풍고등학교,대구광역시 달성군 현풍읍 성하리 497,35.6985296,128.4382371
대구대서초등학교,대구광역시 달서구 상인동 860-1,35.82006524,128.5499433
대구지산초등학교,대구광역시 수성구 지산동 1149,35.82695925,128.6301684
왕선중학교,대구광역시 달성군 다사읍 매곡리 1541,35.8633285,128.4663062
대구성서초등학교,대구광역시 달서구 이곡동 727-1,35.85196163,128.5144493
수성중학교,대구광역시 수성구 파동 2,35.82587108,128.6072057
대구하이텍고등학교,대구광역시 달서구 상인동 1-2,35.82324215,128.5386414
대구월암초등학교,대구광역시 달서구 월성동 755,35.828572,128.5217032
대구신서초등학교,대구광역시 달서구 신당동 1733,35.85793519,128.4947454
대구청림초등학교,대구광역시 수성구 노변동 367-2,35.83563358,128.7033758
대구도원초등학교,대구광역시 달서구 도원동 1455,35.80470737,128.5421307
대서중학교,대구광역시 달서구 송현동 898-15,35.82360753,128.5435493
대구동부초등학교,대구광역시 동구 신암동 672-1,35.88802465,128.619832
강북고등학교,대구광역시 북구 태전동 산14-1,35.92972817,128.5412228
대구신천초등학교,대구광역시 동구 신천동 185-1,35.871628,128.6210089
대구월서초등학교,대구광역시 달서구 상인동 123-1,35.82174515,128.5318133
남대구초등학교,대구광역시 남구 대명동 1820-5,35.8535697,128.586479
대구해안초등학교,대구광역시 동구 부동 643-1,35.89617793,128.6830243
대구강림초등학교,대구광역시 달성군 옥포읍 강림리 1106,35.78124474,128.4367988
매호중학교,대구광역시 수성구 매호동 1332,35.84396065,128.7022897
경상공업고등학교,대구광역시 남구 대명동 3015-1,35.8452186,128.5741961
대구옥포초등학교,대구광역시 달성군 옥포읍 본리리 801,35.78778718,128.4641599
대구현풍초등학교,대구광역시 달성군 현풍읍 상리 539-1,35.69810979,128.448495
경상고등학교,대구광역시 북구 복현동 105,35.90189918,128.621534
대구화원초등학교,대구광역시 달성군 화원읍 천내리 417,35.80302218,128.4993245
대구감삼초등학교,대구광역시 달서구 감삼동 196-1,35.84917998,128.5451459
신명고등학교,대구광역시 중구 동산동 206,35.86838328,128.584035
동대구초등학교,대구광역시 동구 신암동 208-1,35.87969333,128.6209699792
대륜중학교,대구광역시 수성구 만촌동 산241,35.85168394,128.6567622
지산중학교,대구광역시 수성구 지산동 1256-1,35.82463972,128.6285993
대구내당초등학교,대구광역시 달서구 두류동 1202-1,35.86063972,128.5723832
대구함지초등학교,대구광역시 북구 동천동 949,35.934735,128.5578627
대구과학고등학교,대구광역시 수성구 황금동 610-1,35.844679,128.6254904
대구팔공초등학교,대구광역시 동구 지묘동 1163,35.9471327,128.6252872
수성고등학교,대구광역시 수성구 두산동 산1-1,35.82127653,128.625466
대구율금초등학교,대구광역시 동구 율하동 1403,35.86188872,128.6918365
대구복현초등학교,대구광역시 북구 복현동 225,35.89760701,128.6215386
성화중학교,대구광역시 북구 복현동 540-1,35.9032298,128.620265
경구중학교,대구광역시 중구 남산동 2380-5,35.85851368,128.5835008
대구서평초등학교,대구광역시 서구 평리동 574-6,35.878252,128.5479041
월서중학교,대구광역시 달서구 월성동 1317,35.81972903,128.5264911
대구동덕초등학교,대구광역시 중구 삼덕동2가 327-1,35.864763,128.604677
도원중학교,대구광역시 달서구 도원동 1452,35.80619402,128.5450006
천내중학교,대구광역시 달성군 화원읍 구라리 1560-12,35.80935839,128.5034625
대구혜화여자고등학교,대구광역시 수성구 만촌동 1256-26,35.84985719,128.647666
대구안일초등학교,대구광역시 동구 율하동 254-1,35.87142509,128.6952241
대구여자상업고등학교,대구광역시 남구 대명동 1835-3,35.84902055,128.5832069
대구봉덕초등학교,대구광역시 남구 봉덕동 1319-1,35.83968334,128.5968429
대구덕인초등학교,대구광역시 달서구 본리동 407-1,35.83856871,128.5344725
경북대학교사범대학부설고등학교,대구광역시 중구 대봉동 60-19,35.8625154,128.6006135
대구문성초등학교,대구광역시 북구 복현동 29-2,35.90581213,128.6203559
시지고등학교,대구광역시 수성구 신매동 602-1,35.830117,128.7074233
구남중학교,대구광역시 달서구 두류동 1207-1,35.85810993,128.5726243
대구동중학교,대구광역시 수성구 수성동2가 119-4,35.85820019,128.6159585
대구신흥초등학교,대구광역시 달서구 두류동 472-1,35.856334,128.5563376
비슬고등학교,대구광역시 달성군 현풍읍 중리 482,35.69550494,128.4545987
경일여자고등학교,대구광역시 남구 봉덕동 1322-1,35.83640873,128.5968171
대구파호초등학교,대구광역시 달서구 호산동 350-1,35.85058152,128.4815078
대구수성초등학교,대구광역시 수성구 상동 89-2,35.83721988,128.6105947
대구동천초등학교,대구광역시 수성구 범어동 9,35.86584724,128.625264
대구성남초등학교,대구광역시 달서구 두류동 812-1,35.85332963,128.5722856
대구제일여자상업고등학교,대구광역시 달서구 본리동 156-1,35.84075539,128.545887
대구북중학교,대구광역시 북구 복현동 219-1,35.8973669,128.6204404
동변중학교,대구광역시 북구 동변동 695,35.91925722,128.6056093
대구성동초등학교,대구광역시 수성구 황금동 373,35.84090465,128.6322834
영남중학교,대구광역시 달서구 상인동 70,35.82076999,128.5363043
대구장동초등학교,대구광역시 달서구 장기동 533-4,35.84478484,128.5317635
대구지봉초등학교,대구광역시 수성구 지산동 1296,35.825447,128.6408048
대평중학교,대구광역시 서구 평리동 730-1,35.88026893,128.5623308
대구범어초등학교,대구광역시 수성구 범어동 154,35.86056415,128.6334733
대구숙천초등학교,대구광역시 동구 숙천동 390,35.87696975,128.7533077
대구영선초등학교,대구광역시 남구 이천동 447,35.85290128,128.5960139
대구평리초등학교,대구광역시 서구 평리동 1070-37,35.87239568,128.5613416
조암중학교,대구광역시 달서구 월성동 1150-1,35.8232027,128.5240795
안심중학교,대구광역시 동구 서호동 121,35.86674984,128.7092322
산격중학교,대구광역시 북구 산격동 500-136,35.90230254,128.6087049
대구선원초등학교,대구광역시 달서구 용산동 504,35.861015,128.5155245
대구북동초등학교,대구광역시 달성군 논공읍 남리 1119,35.72947978,128.4413203
대구동일초등학교,대구광역시 수성구 수성동2가 17-1,35.85810017,128.6168819
대구동부중학교,대구광역시 수성구 만촌동 645-1,35.872516,128.6442074
동도중학교,대구광역시 수성구 범어동 336,35.84943264,128.6396851
대구월성초등학교,대구광역시 달서구 월성동 280,35.83108781,128.5318978
와룡중학교,대구광역시 달서구 이곡동 1189-1,35.85830017,128.5020267
상서중학교,대구광역시 달서구 성당동 670-31,35.84643612,128.5498704
대구사월초등학교,대구광역시 수성구 신매동 57-1,35.83405178,128.7150404
협성고등학교,대구광역시 남구 봉덕동 1322-3,35.83479736,128.5985816
