사업구분,상호,영업소소재지(도로명),영업소소재지(지번),영업소전화번호,기준일,위도,경도,주소
서구,화성제일주유소,대구광역시 서구 국채보상로 355-1 (비산동),414,053-523-5100,2024-06-07,35.872448651,128.569937055,대구광역시 서구 국채보상로 355-1 
서구,미리내주유소,대구광역시 서구 새방로 101 (상리동),1118,053-566-5182,2024-06-07,35.865699435,128.527349212,대구광역시 서구 새방로 101 
서구,아름다운주유소,대구광역시 서구 달서로 67 (비산동),706,053-557-0900,2024-06-07,35.868190322,128.570725871,대구광역시 서구 달서로 67 
서구,새방골주유소,대구광역시 서구 국채보상로 43 (이현동),686,053-573-5511,2024-06-07,35.868834338,128.535850607,대구광역시 서구 국채보상로 43 
서구,대영셀프주유소,대구광역시 서구 팔달로 78 (비산동),706,053-357-0089,2024-06-07,35.890009482,128.558413334,대구광역시 서구 팔달로 78 
서구,대원석유(주)이현대원 주유소,대구광역시 서구 북비산로 107 (이현동),712,053-525-5182,2024-06-07,35.878861933,128.544846309,대구광역시 서구 북비산로 107 
서구,서대구터미널주유소,대구광역시 서구 북비산로 49 (이현동),730,053-527-5151,2024-06-07,35.878782295,128.538348587,대구광역시 서구 북비산로 49 
서구,서대구IC주유소,대구광역시 서구 북비산로 48 (이현동),1477,053-566-0009,2024-06-07,35.878191262,128.538109011,대구광역시 서구 북비산로 48 
서구,(주)기분좋은주유소,대구광역시 서구 와룡로 420 (이현동),1407,053-563-2222,2024-06-07,35.870137251,128.538331210,대구광역시 서구 와룡로 420 
서구,가나주유소,대구광역시 서구 와룡로 358 (중리동),1298,053-565-5770,2024-06-07,35.864415291,128.537875621,대구광역시 서구 와룡로 358 
서구,조광주유소,대구광역시 서구 북비산로 36 (이현동),729,053-552-3900,2024-06-07,35.878246712,128.536962189,대구광역시 서구 북비산로 36 
서구,평리동양주유소,대구광역시 서구 북비산로 241 (평리동),688,053-525-5995,2024-06-07,35.879526481,128.559722777,대구광역시 서구 북비산로 241 
서구,신광주유소,대구광역시 서구 와룡로 349 (중리동),931,053-567-4771,2024-06-07,35.863892561,128.537159824,대구광역시 서구 와룡로 349 
서구,영신주유소,대구광역시 서구 서대구로 210 (평리동),951.7,053-555-7450,2024-06-07,35.876656892,128.555324584,대구광역시 서구 서대구로 210 
서구,천만에너지,대구광역시 서구 북비산로 154 (평리동),1376,053-561-5181,2024-06-07,35.878387188,128.549947903,대구광역시 서구 북비산로 154 
서구,영신제2주유소,대구광역시 서구 서대구로 207 (평리동),1006,053-553-5511,2024-06-07,35.876567053,128.554541186,대구광역시 서구 서대구로 207 
서구,이현IC주유소,대구광역시 서구 북비산로 183 (평리동),1967,053-564-1112,2024-06-07,35.879365971,128.553228943,대구광역시 서구 북비산로 183 
서구,지민주유소,대구광역시 서구 북비산로 177 (평리동),1623,053-341-4500,2024-06-07,35.879322840,128.552458596,대구광역시 서구 북비산로 177 
서구,서대구주유소,대구광역시 서구 북비산로 41 (이현동),1288,053-525-7277,2024-06-07,35.878875859,128.537350863,대구광역시 서구 북비산로 41 
서구,지에스칼텍스(주) 달구벌대로주유소,대구광역시 서구 달구벌대로 1845 (내당동),1547,053-556-5151,2024-06-07,35.861050913,128.566257167,대구광역시 서구 달구벌대로 1845 
서구,광명주유소,대구광역시 서구 서대구로 201 (평리동),1102,053-555-5563,2024-06-07,35.876088460,128.554553957,대구광역시 서구 서대구로 201 
서구,광명2주유소,대구광역시 서구 서대구로 170 (평리동),1052,053-662-5182,2024-06-07,35.873092289,128.555279765,대구광역시 서구 서대구로 170 
서구,신라주유소,대구광역시 서구 서대구로 105 (평리동),813,053-551-8113,2024-06-07,35.867369624,128.554967734,대구광역시 서구 서대구로 105 
서구,행복제1주유소,대구광역시 서구 고성로 104 (원대동1가),934,053-356-1951,2024-06-07,35.882294534,128.577212199,대구광역시 서구 고성로 104 
서구,(주)대일종합에너지 서부지점 행복주유소,대구광역시 서구 국채보상로 122 (중리동),669,053-571-8251,2024-06-07,35.868568733,128.544320975,대구광역시 서구 국채보상로 122 
서구,태화주유소,대구광역시 서구 평리로 260 (내당동),860,053-566-1778,2024-06-07,35.862481830,128.551867742,대구광역시 서구 평리로 260 
서구,합천주유소,대구광역시 서구 염색공단천로 78 (비산동),1147,053-356-1010,2024-06-07,35.889664237,128.545020217,대구광역시 서구 염색공단천로 78 
서구,명조주유소,대구광역시 서구 평리로 156 (중리동),972,053-555-6688,2024-06-07,35.858790206,128.541403274,대구광역시 서구 평리로 156 
서구,꽉주유소,대구광역시 서구 국채보상로 317 (평리동),623,053-565-5186,2024-06-07,35.872297147,128.565748166,대구광역시 서구 국채보상로 317 
서구,e편한주유소,대구광역시 서구 평리로 317 (평리동),966,053-556-9942,2024-06-07,35.864188019,128.557941812,대구광역시 서구 평리로 317 
서구,㈜에스앤에스주유소,대구광역시 서구 달구벌대로 1833 (내당동),527,053-526-5558,2024-06-07,35.860899463,128.565333331,대구광역시 서구 달구벌대로 1833 
서구,평리주유소,대구광역시 서구 서대구로 227 (평리동),1238,053-526-2828,2024-06-07,35.878701903,128.554530270,대구광역시 서구 서대구로 227 
서구,베스트오일(주)브라보주유소,대구광역시 서구 북비산로 95 (이현동),1160,053-551-8851,2024-06-07,35.878905726,128.543382501,대구광역시 서구 북비산로 95 
서구,이현공단주유소,대구광역시 서구 국채보상로 181 (평리동),1067,053-565-0889,2024-06-07,35.870134037,128.550552084,대구광역시 서구 국채보상로 181 
서구,달서주유소,대구광역시 서구 달서천로 176 (평리동),532,053-352-4001,2024-06-07,35.881987251,128.553679261,대구광역시 서구 달서천로 176 
서구,태양주유소,대구광역시 서구 국채보상로 372 (비산동),622,053-573-8303,2024-06-07,35.871927599,128.571690526,대구광역시 서구 국채보상로 372 
