사업구분,상호,영업소소재지(도로명),영업소소재지(지번),영업소전화번호,기준일,위도,경도
일반판매소,SK수성대경대흥석유,대구광역시 수성구 수성로12길 68-14,대구광역시 수성구 상동  339 번지2 호 ,053-767-7323,2024-09-13,35.83269576,128.6129811
일반판매소,한솔석유,대구광역시 수성구 국채보상로 1026,대구광역시 수성구 만촌동  965 번지1 호 ,053-742-5151,2024-09-13,35.86589853,128.642746
일반판매소,수산석유,대구광역시 수성구 동대구로29길 54-41,대구광역시 수성구 황금동  868 번지7 호 ,053-756-2925,2024-09-13,35.84240684,128.62069
일반판매소,만촌하나석유,대구광역시 수성구 국채보상로192길 11,대구광역시 수성구 범어동  428 번지3 호14 통2 반 ,053-741-2017,2024-09-13,35.86685043,128.6355593
일반판매소,자연에너지,대구광역시 수성구 희망로19길 6,대구광역시 수성구 중동  537 번지16 호 ,053-762-5510,2024-09-13,35.84745834,128.6102266
일반판매소,파동에너지,대구광역시 수성구 파동로38길 45 (파동),대구광역시 수성구 파동  110 번지136 호 ,053-252-4089,2024-09-13,35.81924691,128.6145886
일반판매소,금호석유,대구광역시 수성구 국채보상로192길 14,대구광역시 수성구 범어동  435 번지22 호 ,053-745-8809,2024-09-13,35.86675176,128.6353103
일반판매소,삼우에너지,대구광역시 수성구 범어로32길 10,대구광역시 수성구 범어동  396 번지3 호 ,080-080-3009,2024-09-13,35.86447103,128.6358305
일반판매소,부강에너지,대구광역시 수성구 교학로16길 4,대구광역시 수성구 만촌동  876 번지37 호 ,053-752-5658,2024-09-13,35.84950151,128.6506098
일반판매소,대림석유,대구광역시 수성구 범안로2길 3-9,대구광역시 수성구 범물동  1362 번지19 호 ,053-741-8025,2024-09-13,35.81688095,128.6391434
일반판매소,극동석유,대구광역시 수성구 교학로11길 43-3,대구광역시 수성구 만촌동  869 번지28 호 ,053-745-0444,2024-09-13,35.8507735,128.6544531
주유소,수성현대셀프주유소,대구광역시 수성구 동대구로 74,대구광역시 수성구 지산동  997 번지2 호 ,053-767-5142,2024-09-13,35.83671666,128.6243587
주유소,에스제이주유소,대구광역시 수성구 달구벌대로 2650,"대구광역시 수성구 만촌동  854 번지4 호,7호 ",053-751-5151,2024-09-13,35.85557489,128.6511927
주유소,지에스칼텍스(주) 삼보주유소,대구광역시 수성구 무학로 61,"대구광역시 수성구 상동  409 번지 2호,3호,7호",053-764-3551,2024-09-13,35.82997073,128.6154072
주유소,경북광유(주)중앙2주유소,대구광역시 수성구 화랑로 138 ,"대구광역시 수성구 만촌동  1330 번지4 호, 42호, 43호, 44호",053-745-0049,2024-09-13,35.87411776,128.6416617
주유소,신세계주유소,대구광역시 수성구 파동로 159 ,"대구광역시 수성구 파동  27 번지33 호외 27-314번지, 581-158번지 ",053-763-7894,2024-09-13,35.81731228,128.6134003
주유소,메트로팔레스주유소,대구광역시 수성구 화랑로 20,대구광역시 수성구 만촌동  414 번지18 호14 통6 반 ,053-754-1001,2024-09-13,35.86819975,128.6314222
주유소,지에스칼텍스(주)황금캐슬주유소,대구광역시 수성구 청수로 172 ,대구광역시 수성구 지산동  932 번지외 1필지(933-1번지) ,053-765-7100,2024-09-13,35.83889281,128.6268466
주유소,그린주유소,대구광역시 수성구 달구벌대로 2899,대구광역시 수성구 연호동  154 번지94 호 ,053-792-0891,2024-09-13,35.84524755,128.6755467
주유소,문화주유소,대구광역시 수성구 청호로 93,"대구광역시 수성구 지산동  103 번지3 호,103번지 ",053-782-3300,2024-09-13,35.82629194,128.6442098
주유소,지에스칼텍스(주)화남주유소,대구광역시 수성구 달구벌대로 3063,대구광역시 수성구 시지동  170 번지5 호 ,053-791-8900,2024-09-13,35.84335116,128.6919968
주유소,태영주유소,대구광역시 수성구 국채보상로 964,대구광역시 수성구 범어동  428 번지4 호428-13번지 ,053-741-3059,2024-09-13,35.86695742,128.6360548
주유소,샛별주유소,대구광역시 수성구 무열로 73,대구광역시 수성구 만촌동  994 번지40 호17 통5 반 ,053-742-9666,2024-09-13,35.86505043,128.6491284
주유소,수성착한주유소,대구광역시 수성구 신천동로 85 ,대구광역시 수성구 상동  208 번지외6필지 ,053-768-5100,2024-09-13,35.83256962,128.6070726
주유소,한일주유소,대구광역시 수성구 청수로 162,대구광역시 수성구 지산동  942 번지 ,053-768-2654,2024-09-13,35.83913892,128.6256145
주유소,구도일주유소 무열로,대구광역시 수성구 무열로 181 ,대구광역시 수성구 만촌동  617 번지14 호 ,053-754-5915,2024-09-13,35.87410033,128.6461281
주유소,하나주유소,대구광역시 수성구 달구벌대로 3299 ,대구광역시 수성구 사월동  411 번지5 호외 1필지(411-8번지) ,053-795-1034,2024-09-13,35.8371124,128.7168768
주유소,버디클럽오일뱅크,대구광역시 수성구 무학로 12 ,대구광역시 수성구 상동  611-8.13.14.17.18 ,053-768-2600,2024-09-13,35.82882505,128.6098286
주유소,흥구동신주유소,대구광역시 수성구 청수로 94,대구광역시 수성구 두산동  8 번지 ,053-768-8383,2024-09-13,35.83996389,128.6184089
주유소,지에스칼텍스(주)황금기름창고주유소,대구광역시 수성구 청수로 89,"대구광역시 수성구 황금동  887 번지1 호,5호 ",053-766-5151,2024-09-13,35.84069424,128.6180776
주유소,한결주유소,대구광역시 수성구 지범로 50 ,대구광역시 수성구 두산동  740 번지9 호740-13번지 외 총2필지 ,053-783-6886,2024-09-13,35.82608451,128.6259563
주유소,(주)담티주유소,대구광역시 수성구 달구벌대로 2689 ,"대구광역시 수성구 만촌동  754 번지2 호외2필지(754번지4호,1250번지1호) ",053-745-5189,2024-09-13,35.85442965,128.6556238
주유소,파동주유소,대구광역시 수성구 파동로 71,대구광역시 수성구 파동  506 번지4 호506-7번지 504-4번지 ,053-768-8182,2024-09-13,35.81049691,128.618411
주유소,대림주유소,대구광역시 수성구 용학로 244,대구광역시 수성구 지산동  1205 번지3 호 ,053-781-5151,2024-09-13,35.82015421,128.6349693
주유소,사랑가득주유소,대구광역시 수성구 동대구로 221 ,대구광역시 수성구 황금동  670 번지1 호 ,053-767-1010,2024-09-13,35.85026823,128.6245846
주유소,가든주유소,대구광역시 수성구 청호로 417,대구광역시 수성구 범어동  97 번지11 호 ,053-741-5152,2024-09-13,35.8545423,128.6390698
주유소,노변주유소,대구광역시 수성구 달구벌대로 3142 ,"대구광역시 수성구 노변동  4 번지시지동390-11, 시지동390-166 ",053-791-5493,2024-09-13,35.84158394,128.700436
주유소,기분좋은주유소,대구광역시 수성구 희망로 101-1,대구광역시 수성구 중동  537 번지21 호 ,053-767-6051,2024-09-13,35.84732948,128.6100618
주유소,구도일주유소 수성,대구광역시 수성구 달구벌대로 2457,대구광역시 수성구 범어동  165 번지17 호 ,053-752-4071,2024-09-13,35.85922727,128.6316111
주유소,수성주유소,대구광역시 수성구 수성로 1,"대구광역시 수성구 상동  623 번지2 호,623-10번지 ",053-764-3030,2024-09-13,35.82552904,128.6097294
주유소,대한주유소,대구광역시 수성구 달구벌대로 3322,대구광역시 수성구 신매동  10 번지40 호4 통1 반 ,053-814-0088,2024-09-13,35.8359295,128.7190532
주유소,한국광유(주)남부주유소,대구광역시 수성구 달구벌대로 2626,대구광역시 수성구 만촌동  853 번지 ,053-754-1127,2024-09-13,35.85678974,128.6492836
주유소,흥구석유(주)만촌주유소,대구광역시 수성구 화랑로 170 ,대구광역시 수성구 만촌동  1331 번지13 호1331-14호 ,053-743-3514,2024-09-13,35.87587568,128.6446309
주유소,대성산업(주)대경주유소,대구광역시 수성구 달구벌대로 3219,"대구광역시 수성구 신매동  365 번지1 호,6호 ",053-792-0612,2024-09-13,35.83986702,128.7088608
주유소,한국광유(주)청기와 주유소,대구광역시 수성구 화랑로 222,대구광역시 수성구 만촌동  132 번지3 호 ,053-941-4422,2024-09-13,35.87782954,128.6494058
중구,행운주유소,대구광역시 중구 태평로 105 (태평로3가),,태평로3가,대구광역시 중구 태평로 105,35.87635595,128.5895184
중구,(주)태산이앤엘 감영셀프주유소,대구광역시 중구 태평로 130 (태평로2가),,태평로2가,대구광역시 중구 태평로 130,35.87548675,128.5917235
중구,동인셀프주유소,대구광역시 중구 태평로 257 (동인동1가),,동인동1가,대구광역시 중구 태평로 257,35.87273476,128.6056814
중구,GS태평주유소,대구광역시 중구 태평로 120 (태평로3가),,태평로3가,대구광역시 중구 태평로 120,35.87559545,128.5909269
중구,흥구석유(주)동인주유소,대구광역시 중구 동덕로38길 5 (동인동1가),,동인동1가,대구광역시 중구 동덕로38길 5,35.87158837,128.6049717
중구,케이케이(KK) 주식회사 유성주유소,대구광역시 중구 동덕로 6 (대봉동),,대봉동,대구광역시 중구 동덕로 6,35.8556312,128.604153
중구,대명주유소,대구광역시 중구 명덕로 79 (남산동),,남산동,대구광역시 중구 명덕로 79,35.85822097,128.5794241
중구,조양주유소,대구광역시 중구 달구벌대로 2194 (대봉동),,대봉동,대구광역시 중구 달구벌대로 2194,35.86265013,128.6031984
중구,케이케이(KK) 주식회사 중앙주유소,대구광역시 중구 국채보상로 642 (동인동2가),,동인동2가,대구광역시 중구 국채보상로 642,35.86953845,128.6007221
서구,화성제일주유소,대구광역시 서구 국채보상로 355-1 (비산동),414,053-523-5100,2024-06-07,35.87244865,128.5699371
서구,미리내주유소,대구광역시 서구 새방로 101 (상리동),1118,053-566-5182,2024-06-07,35.86569944,128.5273492
서구,아름다운주유소,대구광역시 서구 달서로 67 (비산동),706,053-557-0900,2024-06-07,35.86819032,128.5707259
서구,새방골주유소,대구광역시 서구 국채보상로 43 (이현동),686,053-573-5511,2024-06-07,35.86883434,128.5358506
서구,대영셀프주유소,대구광역시 서구 팔달로 78 (비산동),706,053-357-0089,2024-06-07,35.89000948,128.5584133
서구,대원석유(주)이현대원 주유소,대구광역시 서구 북비산로 107 (이현동),712,053-525-5182,2024-06-07,35.87886193,128.5448463
서구,서대구터미널주유소,대구광역시 서구 북비산로 49 (이현동),730,053-527-5151,2024-06-07,35.8787823,128.5383486
서구,서대구IC주유소,대구광역시 서구 북비산로 48 (이현동),1477,053-566-0009,2024-06-07,35.87819126,128.538109
서구,(주)기분좋은주유소,대구광역시 서구 와룡로 420 (이현동),1407,053-563-2222,2024-06-07,35.87013725,128.5383312
서구,가나주유소,대구광역시 서구 와룡로 358 (중리동),1298,053-565-5770,2024-06-07,35.86441529,128.5378756
서구,조광주유소,대구광역시 서구 북비산로 36 (이현동),729,053-552-3900,2024-06-07,35.87824671,128.5369622
서구,평리동양주유소,대구광역시 서구 북비산로 241 (평리동),688,053-525-5995,2024-06-07,35.87952648,128.5597228
서구,신광주유소,대구광역시 서구 와룡로 349 (중리동),931,053-567-4771,2024-06-07,35.86389256,128.5371598
서구,영신주유소,대구광역시 서구 서대구로 210 (평리동),951.7,053-555-7450,2024-06-07,35.87665689,128.5553246
서구,천만에너지,대구광역시 서구 북비산로 154 (평리동),1376,053-561-5181,2024-06-07,35.87838719,128.5499479
서구,영신제2주유소,대구광역시 서구 서대구로 207 (평리동),1006,053-553-5511,2024-06-07,35.87656705,128.5545412
서구,이현IC주유소,대구광역시 서구 북비산로 183 (평리동),1967,053-564-1112,2024-06-07,35.87936597,128.5532289
서구,지민주유소,대구광역시 서구 북비산로 177 (평리동),1623,053-341-4500,2024-06-07,35.87932284,128.5524586
서구,서대구주유소,대구광역시 서구 북비산로 41 (이현동),1288,053-525-7277,2024-06-07,35.87887586,128.5373509
서구,지에스칼텍스(주) 달구벌대로주유소,대구광역시 서구 달구벌대로 1845 (내당동),1547,053-556-5151,2024-06-07,35.86105091,128.5662572
서구,광명주유소,대구광역시 서구 서대구로 201 (평리동),1102,053-555-5563,2024-06-07,35.87608846,128.554554
서구,광명2주유소,대구광역시 서구 서대구로 170 (평리동),1052,053-662-5182,2024-06-07,35.87309229,128.5552798
서구,신라주유소,대구광역시 서구 서대구로 105 (평리동),813,053-551-8113,2024-06-07,35.86736962,128.5549677
서구,행복제1주유소,대구광역시 서구 고성로 104 (원대동1가),934,053-356-1951,2024-06-07,35.88229453,128.5772122
서구,(주)대일종합에너지 서부지점 행복주유소,대구광역시 서구 국채보상로 122 (중리동),669,053-571-8251,2024-06-07,35.86856873,128.544321
서구,태화주유소,대구광역시 서구 평리로 260 (내당동),860,053-566-1778,2024-06-07,35.86248183,128.5518677
서구,합천주유소,대구광역시 서구 염색공단천로 78 (비산동),1147,053-356-1010,2024-06-07,35.88966424,128.5450202
서구,명조주유소,대구광역시 서구 평리로 156 (중리동),972,053-555-6688,2024-06-07,35.85879021,128.5414033
서구,꽉주유소,대구광역시 서구 국채보상로 317 (평리동),623,053-565-5186,2024-06-07,35.87229715,128.5657482
서구,e편한주유소,대구광역시 서구 평리로 317 (평리동),966,053-556-9942,2024-06-07,35.86418802,128.5579418
서구,㈜에스앤에스주유소,대구광역시 서구 달구벌대로 1833 (내당동),527,053-526-5558,2024-06-07,35.86089946,128.5653333
서구,평리주유소,대구광역시 서구 서대구로 227 (평리동),1238,053-526-2828,2024-06-07,35.8787019,128.5545303
서구,베스트오일(주)브라보주유소,대구광역시 서구 북비산로 95 (이현동),1160,053-551-8851,2024-06-07,35.87890573,128.5433825
서구,이현공단주유소,대구광역시 서구 국채보상로 181 (평리동),1067,053-565-0889,2024-06-07,35.87013404,128.5505521
서구,달서주유소,대구광역시 서구 달서천로 176 (평리동),532,053-352-4001,2024-06-07,35.88198725,128.5536793
서구,태양주유소,대구광역시 서구 국채보상로 372 (비산동),622,053-573-8303,2024-06-07,35.8719276,128.5716905
