지도코드,지도_동,시,구,동,행정코드,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,인구밀도,혼잡시간강도,공시지가평균,공시지가중앙값,위도,경도,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,입지선정지수
27110123,동성로2가,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,18329045.45,12200000,35.8700737,128.5956082,460.6667658,634.369327,726.4117334,953.4893544,1151.548106,1564.81876,24,9,22,8,155,16,0,8,11,71,324,-9616.318508
27110107,삼덕동3가,대구광역시,중구,삼덕동,2201054,16679,14398,537,1744,69.64,0,0,14133.33333,84.65,1791692.308,1657000,35.8645571,128.6092875,589.1937457,805.5638987,895.7120736,462.2266292,501.7110446,820.4310288,55,16,2,14,45,55,3,6,2,114,312,-9254.670668
27110106,삼덕동2가,대구광역시,중구,삼덕동,2201054,16679,14398,537,1744,69.64,0,0,11426.92308,84.65,2598456.522,2097500,35.8655904,128.6026125,329.4129733,495.2023809,688.2240956,148.8092793,519.0670244,958.4117976,64,8,34,11,85,38,5,29,12,158,444,-9227.020258
27110105,삼덕동1가,대구광역시,중구,삼덕동,2201054,16679,14398,537,1744,69.64,0,0,800,84.65,7121206.897,4793000,35.8662987,128.5983625,415.5540428,608.9221751,796.8140227,527.3635067,843.7305021,1278.244035,30,13,25,16,188,54,2,7,43,255,633,-9172.320335
27110157,대봉동,대구광역시,중구,대봉동,2201068,9659,8251,435,972,62.98,2,1,14926.19,78.06,2050974.83,1772000,35.861649,128.6043,150.1347947,585.4361445,817.2633203,37.27445485,461.2224551,974.2621248,197,43,12,36,397,160,3,78,31,328,1285,-8906.39028
27110112,덕산동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,8000571.429,8035000,35.8660855,128.5932916,768.5175896,932.1429068,1012.200264,967.4885122,1241.459868,1699.976397,12,14,19,6,319,43,0,4,7,95,519,-8865.803508
27110119,동성로3가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,11325250,10429000,35.8676904,128.5938875,645.7527876,817.2505635,899.9924531,959.9249665,1211.423145,1647.709524,9,25,9,4,69,11,3,2,8,86,226,-8865.790806
27110117,남일동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,6837076.923,7868000,35.8693901,128.5942224,582.2457982,682.5897967,781.8731565,1013.609539,1229.168602,1628.603919,5,17,8,2,26,14,0,3,4,56,135,-8669.971508
27110148,동성로1가,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,6274857.143,7762000,35.8730919,128.5957162,450.9011242,520.14872,612.4159559,1179.734584,1296.44877,1622.481371,0,4,0,0,142,3,0,1,1,5,156,-8657.654508
27110122,공평동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,7881744.444,6677000,35.8696654,128.597925,248.0052553,558.0729146,688.7802186,767.3707113,975.1584994,1377.179015,26,11,26,13,76,51,1,29,24,172,429,-8556.133508
27110154,대신동,대구광역시,중구,대신동,2201062,6078,5136,343,599,53.54,0,0,14398.07692,69.04,2887434.524,1681000,35.8655452,128.5762676,524.7531239,751.5847426,1068.719526,1940.833345,2085.998492,2195.76822,16,13,7,18,2176,77,7,8,4,208,2534,-8415.511733
27110156,남산동,대구광역시,중구,남산동,2201064,10733.33333,9233,456.6666667,1044,37.55,1,1,21229.81366,60.90333333,1880557.86,1437000,35.8593362,128.5904272,449.8801703,585.3878366,793.6930296,1296.317106,1613.80524,1954.155483,401,124,36,82,356,219,5,65,37,388,1713,-8293.574176
27110101,동인동1가,대구광역시,중구,동인동,2201070,11508,9861,427,1221,59.1,2,0,13277.77778,75.1,1822368,1815000,35.8725122,128.60349,160.1049638,257.9027904,502.5835919,486.1556426,763.6957583,1125.051293,24,1,0,3,26,5,1,33,2,61,156,-8095.955201
27110115,사일동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,6041000,4575500,35.8711407,128.5943675,541.5760964,573.4563644,676.9896423,1115.106611,1286.572827,1639.641007,18,4,3,3,16,7,0,5,5,20,81,-7988.629508
27110103,동인동3가,대구광역시,중구,동인동,2201070,11508,9861,427,1221,59.1,0,0,11355.88235,75.1,1471883.929,1389000,35.8721571,128.609925,391.1354026,492.6039616,715.8891726,167.399122,556.415546,900.8672521,62,5,0,5,48,28,1,14,4,20,187,-7902.020031
27110104,동인동4가,대구광역시,중구,동인동,2201070,11508,9861,427,1221,59.1,0,0,9251.851852,75.1,1587671.93,1408000,35.8677,128.6103,654.7135174,734.8518678,839.2455402,179.3601649,495.9657255,775.3847737,65,7,1,9,72,54,0,17,9,156,390,-7858.293497
27110108,봉산동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,3304371.053,2257000,35.8631,128.5973,534.6439993,782.4570093,927.5624062,620.4827724,919.1315383,1402.274477,73,40,24,11,225,95,7,21,10,204,710,-7790.996508
27110151,화전동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,3134272.727,3509000,35.8731718,128.5948048,381.8637483,472.1560461,599.8787025,1244.49239,1360.999109,1663.724198,2,0,0,0,31,1,1,1,1,10,47,-7760.947508
27110121,문화동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,4462200,3105500,35.8712741,128.5973288,357.6051047,573.6933987,648.0934931,936.5300603,1090.708271,1467.862193,6,4,4,3,37,13,3,2,2,62,136,-7717.894508
27110120,동문동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,3807100,2799500,35.8719869,128.5984757,335.9230442,519.6873293,615.0124601,941.5672794,1060.660063,1411.269061,23,7,0,5,69,23,7,14,3,117,268,-7712.530508
27110102,동인동2가,대구광역시,중구,동인동,2201070,11508,9861,427,1221,59.1,1,1,5440,75.1,2258040,2124000,35.8691321,128.6032625,238.7607981,329.500299,538.7044766,491.9156275,665.9977113,1006.261849,33,7,2,7,33,11,9,41,5,86,234,-7693.83409
27110124,태평로1가,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5906.25,62.36,2768600,2407000,35.8747194,128.5981281,586.4196698,620.9370841,654.8163705,973.6735607,1226.362903,1561.586935,11,1,0,3,38,14,1,5,2,23,98,-7597.034254
27110150,북성로1가,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,2677287.5,2348000,35.874334,128.5936458,218.6274717,311.8741363,535.3279907,1370.807846,1507.808348,1747.974607,27,17,2,6,30,9,9,8,0,28,136,-7566.394508
27110110,상서동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,3332666.667,4304000,35.8704635,128.5899558,574.6740711,604.0362223,813.8236173,1408.905479,1599.209991,1863.250094,0,5,1,0,5,0,1,1,0,4,17,-7552.383806
27110137,남성로,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,4054666.667,4045000,35.8683,128.58952,817.92519,845.470819,977.522668,1355.568582,1580.703255,1891.525274,7,9,3,0,38,12,2,2,0,40,113,-7541.191806
27110125,교동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,1962772,1957000,35.8733688,128.5988572,455.1384565,548.1389529,618.0014095,895.7576189,1102.725377,1444.949841,5,3,0,3,141,15,1,4,0,36,208,-7518.650508
27110139,계산동2가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,3784500,3279000,35.8677237,128.58825,904.7896072,929.5611037,1036.844568,1449.651341,1679.137269,1972.645867,11,2,1,7,256,16,1,10,3,70,377,-7499.663806
27110126,용덕동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,2714777.778,2130000,35.8739641,128.5966941,482.021377,547.0888362,623.7721227,1093.280566,1287.519877,1611.721052,0,1,0,1,57,3,0,0,0,3,65,-7492.761508
27110127,상덕동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,2333.333333,62.36,2946000,2946000,35.8737674,128.5977783,536.67616,589.7232209,633.5805817,994.3087275,1199.123558,1536.603758,1,0,0,0,10,0,0,0,0,2,13,-7442.356337
27110116,동일동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,3563000,3563000,35.8697204,128.5927741,650.1836476,678.2887211,785.5193274,1145.334568,1351.700709,1706.41427,1,0,1,1,7,0,3,1,2,17,33,-7410.951806
27110128,완전동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,1601350,1641500,35.872549,128.5992567,357.2892825,481.7678926,605.3468744,864.1592432,1035.942707,1381.125005,3,1,0,0,15,6,0,0,0,17,42,-7385.332508
27110143,포정동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,5100,71.1,4192888.889,3176000,35.871904,128.5929111,415.1932633,480.7300375,652.1611458,1270.555276,1427.734343,1723.425039,5,2,2,3,38,9,0,6,6,56,127,-7276.96229
27110136,하서동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,2805500,2805500,35.8702087,128.5880417,650.5645731,673.7179931,897.8194781,1553.794564,1747.471832,1971.008406,0,0,0,2,4,2,0,1,0,4,13,-7250.991806
27110138,계산동1가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,2307666.667,2541000,35.8692701,128.5863501,813.0855331,831.6846847,1032.871507,1660.924481,1866.183896,2073.474705,18,3,1,0,2,1,0,1,0,7,33,-7206.551806
27110144,서문로1가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,2034808.333,2491500,35.8716434,128.589237,462.8353375,490.1636233,736.9178044,1528.464673,1698.201034,1911.006817,6,2,1,3,7,3,0,6,0,14,42,-7200.458806
27110142,서성로2가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,2331000,2331000,35.8700837,128.587198,696.7206992,717.0147531,944.1172165,1619.043092,1813.993883,2020.163271,0,0,0,0,5,2,0,0,2,4,13,-7156.091806
27110146,북성로2가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,1894000,2295500,35.8739383,128.589198,239.8876806,265.3698719,568.6486909,1673.666842,1802.874561,1946.996944,1,0,0,0,11,0,0,1,0,7,20,-7151.952806
27110131,태평로3가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,2,1,9140.625,71.1,1731500,1373500,35.876815,128.587437,195.0602672,316.6830114,524.9154801,1796.335348,1920.708111,2103.464834,4,1,1,0,13,7,0,0,0,7,33,-7132.875915
27110149,태평로2가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,1,0,6619.74,71.1,2013000,2140000,35.8755954,128.5924938,71.46641437,164.8881424,448.0088875,1491.519353,1664.122452,1838.160367,3,0,0,0,9,5,1,2,0,11,31,-7125.505806
27110111,수동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,2399600,2036000,35.8697086,128.5891331,671.5014986,698.2983819,901.4700118,1441.427562,1643.961911,1908.190791,5,5,2,1,18,9,0,7,2,22,71,-7121.625806
27110109,장관동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,1915200,2017000,35.8688352,128.5905569,748.5016333,779.1879002,914.0166084,1286.139006,1505.467824,1828.533315,2,1,0,0,6,3,3,0,4,17,36,-7103.020806
27110113,종로1가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,3354.83871,71.1,2798963.636,2649000,35.8703141,128.5911525,579.3277066,616.8686267,789.960593,1305.441602,1498.780477,1796.777624,43,16,1,4,34,15,15,20,3,74,225,-7102.373064
27110147,대안동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,1708057.895,1924000,35.8731314,128.5913806,266.2016328,312.1585022,572.0228473,1463.742633,1599.886212,1821.878588,7,3,0,1,18,6,4,2,0,25,66,-7097.110806
27110114,종로2가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,2310.344828,71.1,2966111.111,3088000,35.8683546,128.5919772,794.9375307,799.4343721,901.4751506,1147.302866,1378.81851,1750.097065,2,2,0,0,19,7,6,0,2,87,125,-7081.652152
27110118,전동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,2585857.143,1769000,35.8707366,128.5928213,539.7071794,598.362961,719.4388232,1200.381857,1384.371636,1711.721945,0,0,0,0,6,2,3,3,1,20,35,-7052.997806
27110152,향촌동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,1930000,1553000,35.873316,128.5936834,302.2846862,387.1209966,587.7109287,1324.817685,1445.337276,1717.378615,1,2,0,1,31,9,4,2,1,43,94,-7034.754806
27110130,수창동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,1383389.655,1410000,35.8752654,128.5847375,448.6788937,546.1578574,704.3902953,1777.85278,2015.253881,2176.716894,1,3,1,8,21,4,3,3,0,27,71,-6996.425806
27110145,서내동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,1519220,1444000,35.8726825,128.5886485,381.7422508,405.1387709,680.288385,1633.944484,1786.581965,1954.597224,1,0,0,1,7,1,0,1,0,3,14,-6979.114806
27110153,북내동,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,1151512.5,1125050,35.8729818,128.5896469,310.7284325,340.8176298,618.7932162,1577.871112,1722.762964,1906.570019,3,0,0,0,0,0,1,1,0,0,5,-6911.517806
27110135,시장북로,대구광역시,중구,대신동,2201062,6078,5136,343,599,53.54,0,0,6153.16,69.04,1933800,1910000,35.8721149,128.5824413,793.9039289,856.3584694,1013.702752,1986.218338,2137.809553,2272.922261,3,3,1,1,12,9,3,0,0,8,40,-6883.622
27110141,서문로2가,대구광역시,중구,성내3동,2201061,10307,8789,383,1135,38.64,0,0,6153.16,56.95,2341142.857,2349000,35.8709061,128.5863209,664.7964214,680.3085979,925.2536374,1727.121243,1909.855543,2071.86602,12,0,1,3,9,4,0,5,0,3,37,-6266.088249
27110140,동산동,대구광역시,중구,성내3동,2201061,10307,8789,383,1135,38.64,0,0,6153.16,56.95,2586896.429,1859000,35.8685,128.5843,987.570404,1001.684114,1105.836837,1816.636987,2027.986159,2206.223528,28,7,11,7,131,8,2,11,1,46,252,-6259.033249
27110129,도원동,대구광역시,중구,성내3동,2201061,10307,8789,383,1135,38.64,0,0,6153.16,56.95,2167000,2167000,35.8765722,128.5833253,560.103027,673.659181,735.787281,1586.542485,2048.255767,2204.709849,0,1,0,1,0,0,0,0,0,3,5,-6216.152249
27110134,서성로1가,대구광역시,중구,성내3동,2201061,10307,8789,383,1135,38.64,0,0,6619.74,56.95,1824154.545,1602000,35.8724426,128.5871681,483.4236375,500.9557322,772.0752564,1734.656229,1893.802905,2032.449792,2,0,0,0,14,3,1,0,2,8,30,-6143.308421
27110132,인교동,대구광역시,중구,성내3동,2201061,10307,8789,383,1135,38.64,0,0,6153.16,56.95,1566418.519,1555000,35.8729064,128.5840028,628.4050585,691.3267535,880.4058869,1968.211628,2072.313093,2216.326951,4,0,0,0,29,14,3,1,2,12,65,-6119.132249
27110155,달성동,대구광역시,중구,성내3동,2201061,10307,8789,383,1135,38.64,0,0,6153.16,56.95,1522603.704,1505000,35.8759487,128.579075,712.4733126,869.5570447,964.2451642,1479.432903,1962.399746,2229.470797,3,2,1,16,21,7,3,3,0,16,72,-6112.093249
27110133,서야동,대구광역시,중구,성내3동,2201061,10307,8789,383,1135,38.64,0,0,6153.16,56.95,1615344.444,1393000,35.8732642,128.5857366,484.2707628,537.6527831,777.0745654,1892.144979,1995.278376,2120.770971,4,0,0,1,9,1,0,1,0,2,18,-6066.851249
